pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
9015,7,0,1991,ZAKIR HUSSAIN,Haryana,TAORU,IND,,28513,M,1,2,1,FALSE,FALSE,39,5900,8.07,,1,2
9015,8,0,1996,ZAKIR HUSSAIN S/O TAYAB HUSSAIN,Haryana,TAORU,INC,IND,18480,M,2,2,1,FALSE,TRUE,21.6,1636,1.91,,1,2
9023,5,0,1982,BALBIR SINGH,Haryana,PEHOWA,IND,,18928,M,2,4,1,FALSE,FALSE,33.41,12444,21.96,,1,4
9023,6,0,1987,BALBIR SINGH,Haryana,PEHOWA,LKD,IND,43756,M,1,4,1,FALSE,FALSE,61.41,23594,33.11,,1,4
9023,7,0,1991,BALBIR SINGH,Haryana,PEHOWA,IND,LKD,17344,M,2,4,1,FALSE,TRUE,22.86,3994,5.26,,1,4
9023,8,0,1996,BALBIR SINGH SAINI,Haryana,PEHOWA,INC,IND,21887,M,2,4,1,FALSE,FALSE,24.12,9337,10.29,,1,4
9045,8,0,1996,HARI SINGH SAINI,Haryana,HISSAR,INC,,26646,M,2,1,0,FALSE,FALSE,29.04,6672,7.27,,,1
9070,7,0,1991,ASHOK KUMAR,Haryana,THANESAR,JP,,18458,M,2,2,1,FALSE,FALSE,25.38,3394,4.67,,1,2
9070,8,0,1996,ASHOK KUMAR,Haryana,THANESAR,SAP,JP,25175,M,1,2,1,TRUE,FALSE,25.57,4975,5.05,,1,2
9089,5,0,1982,NIRMAL SINGH,Haryana,NAGGAL,INC,,28106,M,1,4,3,FALSE,FALSE,53.2,14003,26.51,,3,4
9089,6,0,1987,NIRMAL SINGH,Haryana,NAGGAL,INC,INC,24171,M,2,4,3,FALSE,TRUE,36.26,19786,29.68,,3,4
9089,7,0,1991,NIRMAL SINGH,Haryana,NAGGAL,INC,INC,31407,M,1,4,3,FALSE,FALSE,44.1,10505,14.75,,3,4
9089,8,0,1996,NIRMAL SINGH,Haryana,NAGGAL,IND,INC,34822,M,1,4,3,FALSE,TRUE,38.43,19660,21.7,,3,4
9097,7,0,1991,RAM PHAL,Haryana,SAFIDON,JP,,19433,M,2,2,1,FALSE,FALSE,28.31,10570,15.4,,1,2
9097,8,0,1996,RAMPHAL S/O JODHA RAM,Haryana,SAFIDON,SAP,JP,21502,M,1,2,1,TRUE,FALSE,25.22,4201,4.93,,1,2
9114,5,0,1982,SHAKUNTLA,Haryana,BAWAL,INC,,33534,F,1,4,2,FALSE,FALSE,59.21,18512,32.69,,2,4
9114,6,0,1987,SHAKUNTLA BHAGWARIA,Haryana,BAWAL,IND,INC,21117,F,2,4,2,FALSE,TRUE,31.47,2641,3.94,,2,4
9114,7,0,1991,SHAKUNTLA BHAGWARIA,Haryana,BAWAL,INC,IND,31605,F,1,4,2,FALSE,FALSE,47.38,9741,14.6,,2,4
9114,8,0,1996,SHAKUNTALA BHAGWARIA,Haryana,BAWAL,INC,INC,23974,F,2,4,2,FALSE,TRUE,29.29,17550,21.44,,2,4
9123,8,0,1996,MALIK CHAND,Haryana,YAMUNANAGAR,IND,,18369,M,2,1,0,FALSE,FALSE,18.2,4527,4.49,,,1
9125,5,0,1982,KAILASH CHAND,Haryana,NARNAUL,BJP,,18298,M,2,5,2,FALSE,FALSE,32.45,11220,19.9,,2,4
9125,6,0,1987,KAILASH CHAND SHARMA,Haryana,NARNAUL,BJP,BJP,42629,M,1,5,2,FALSE,FALSE,59.58,21243,29.69,,2,4
9125,7,0,1991,KAILASH CHAND,Haryana,NARNAUL,BJP,BJP,9083,M,4,5,2,FALSE,TRUE,13.25,6752,9.85,,2,4
9125,8,0,1996,KAILASH CHAND,Haryana,NARNAUL,IND,BJP,25671,M,1,5,2,FALSE,FALSE,31.19,5346,6.5,,2,4
9125,8,0,1996,KAILASH CHAND,Haryana,NARNAUL,BJP,IND,20325,M,2,5,2,FALSE,FALSE,24.7,5318,6.46,,2,4
9134,2,0,1968,HARPAL SINGH,Haryana,TOHANA,VHP,,14621,M,1,5,4,FALSE,FALSE,46.66,6465,20.63,,4,5
9134,3,0,1972,HARPAL SINGH,Haryana,TOHANA,INC,VHP,27907,M,1,5,4,TRUE,TRUE,63.47,18151,41.28,,4,5
9134,5,0,1982,HARPAL SINGH,Haryana,TOHANA,INC,INC,31184,M,1,5,4,FALSE,FALSE,52.93,7392,12.55,,4,5
9134,7,0,1991,HARPAL SINGH,Haryana,TOHANA,INC,INC,22279,M,1,5,4,FALSE,FALSE,30.23,2791,3.79,,4,5
9134,8,0,1996,S. HARPAL SINGH,Haryana,TOHANA,INC,INC,29575,M,2,5,4,FALSE,TRUE,30.88,13183,13.76,,4,5
9142,5,0,1982,JOGI RAM,Haryana,KALAYAT,LKD,,27228,M,1,3,1,FALSE,FALSE,56.94,10468,21.89,,1,3
9142,7,0,1991,JOGI RAM S/O DATU RAM,Haryana,KALAYAT,INC,LKD,17117,M,2,3,1,TRUE,FALSE,30.92,12367,22.34,,1,3
9142,8,0,1996,JOGI RAM,Haryana,KALAYAT,INC,INC,8581,M,3,3,1,FALSE,FALSE,13.38,1198,1.87,,1,3
9146,2,0,1968,AMIR SINGH,Haryana,BADHRA,VHP,,11460,M,1,7,4,FALSE,FALSE,33.9,2712,8.02,,4,7
9146,3,0,1972,AMAR SINGH,Haryana,BAWANIKHERA,VHP,VHP,23180,M,1,7,4,FALSE,FALSE,60.22,7866,20.43,,4,7
9146,4,0,1977,AMAR SINGH,Haryana,BAWANI KHERA,INC,VHP,6919,M,2,7,4,TRUE,TRUE,19.59,6150,17.42,,4,7
9146,5,0,1982,AMAR SINGH,Haryana,BAWANI KHERA,LKD,INC,24298,M,1,7,4,TRUE,FALSE,44.68,1335,2.45,,4,7
9146,6,0,1987,AMAR SINGH,Haryana,BAWANI KHERA,INC,LKD,19481,M,2,7,4,TRUE,TRUE,30.25,18770,29.15,,4,7
9146,7,0,1991,AMAR SINGH,Haryana,BAWANI KHERA,HVP,INC,21869,M,1,7,4,TRUE,FALSE,36.43,6977,11.62,,4,7
9146,8,0,1996,AMAR SINGH,Haryana,BAWANI KHERA,INC,HVP,10480,M,3,7,4,TRUE,TRUE,13.51,6468,8.34,,4,7
9148,7,0,1991,DHARAM PAL,Haryana,SOHNA,INC,,34047,M,1,2,1,FALSE,FALSE,46.66,17344,23.77,,1,2
9148,8,0,1996,DHARAM PAL,Haryana,SOHNA,INC,INC,20606,M,2,2,1,FALSE,TRUE,23.74,1379,1.59,,1,2
9157,7,0,1991,BALBIR SINGH,Haryana,MEHAM,IND,,743,M,5,2,1,FALSE,FALSE,1.09,566,0.83,,1,2
9157,8,0,1996,BALBIR,Haryana,MEHAM,SAP,IND,24210,M,1,2,1,FALSE,FALSE,32.24,257,0.34,,1,2
AEHR100365,7,1,1993,Chandermohan,Haryana,Kalka,INC,,82918,M,1,2,2,FALSE,FALSE,79.7,61800,59.4,,2,2
AEHR100365,8,0,1996,CHANDER MOHAN,Haryana,KALKA,INC,INC,54929,M,1,2,2,FALSE,TRUE,40.97,20629,15.38,,2,2
AEHR100368,7,1,1993,Randeep Singh,Haryana,Narwana,INC,,28342,M,2,2,1,FALSE,FALSE,37.47,0,0,,1,2
AEHR100368,8,0,1996,RANDEEP SINGH,Haryana,NARWANA,INC,INC,28286,M,1,2,1,FALSE,FALSE,32.63,849,0.98,,1,2
AEHR100369,8,1,1996,Kanta,Haryana,Jhajjar(SC),HVP,,45573,F,1,1,1,FALSE,FALSE,58.55,26039,33.45,,1,1
AEHR100370,8,1,1996,Shakuntla,Haryana,Jhajjar(SC),SJP(R),,19534,F,2,1,0,FALSE,FALSE,25.1,7607,9.77,,,1
AEHR100371,8,1,1996,Kirpa Ram,Haryana,Jhajjar(SC),INC,,11927,M,3,1,0,FALSE,FALSE,15.32,11617,14.92,,,1
AEHR100372,8,1,1996,Pyare Lal,Haryana,Jhajjar(SC),AIIC(T),,310,M,4,1,0,FALSE,FALSE,0.4,60,0.08,,,1
AEHR100377,8,1,1998,Sampat Singh,Haryana,FATEHABAD,HLD(R),,39712,M,1,1,1,FALSE,FALSE,41.09,7162,7.41,,1,1
AEHR100378,8,1,1998,Jarnail Kaur,Haryana,FATEHABAD,HVP,,32550,F,2,1,0,FALSE,FALSE,33.68,16667,17.25,,,1
AEHR100379,8,1,1998,Ram Raj Mehta,Haryana,FATEHABAD,INC,,15883,M,3,1,0,FALSE,FALSE,16.43,9149,9.47,,,1
AEHR100390,8,1,1998,Kuldeep Singh Bishnoi,Haryana,ADAMPUR,INC,,49077,M,1,1,1,FALSE,FALSE,53.51,17775,19.38,,1,1
AEHR100392,8,1,1998,Rajesh,Haryana,ADAMPUR,HLD(R),,5975,M,3,1,0,FALSE,FALSE,6.52,3854,4.2,,,1
AEHR11192,8,0,1996,K.V. SINGH,Haryana,DARBA KALAN,INC,,19602,M,3,1,0,FALSE,FALSE,20.43,19301,20.12,,,1
AEHR1175,3,0,1972,HIRANAND,Haryana,LOHARU,IND,,13213,M,2,5,3,FALSE,FALSE,32.21,7683,18.73,,3,5
AEHR1175,4,0,1977,HIRA NAND,Haryana,LOHARU,JNP,IND,29659,M,1,5,3,FALSE,FALSE,73.3,23583,58.28,,3,5
AEHR1175,5,0,1982,HIRA NAND,Haryana,LOHARU,LKD,JNP,25108,M,1,5,3,TRUE,TRUE,46.42,8984,16.61,,3,5
AEHR1175,6,0,1987,HIRA NAND ARYA,Haryana,LOHARU,LKD,LKD,38104,M,1,5,3,FALSE,TRUE,56.66,12613,18.75,,3,5
AEHR1175,8,0,1996,HIRANAND ARYA,Haryana,LOHARU,SAP,LKD,11126,M,2,5,3,TRUE,FALSE,13.54,3304,4.02,,3,5
AEHR1238,3,0,1972,LACHMAN DASS,Haryana,SIRSA,IND,,19889,M,2,6,2,FALSE,FALSE,44.93,17719,40.03,,2,6
AEHR1238,4,0,1977,LACHHMAN DAS,Haryana,SIRSA,IND,IND,9870,M,2,6,2,FALSE,FALSE,21.65,249,0.55,,2,6
AEHR1238,5,0,1982,LACHHMAN DAS ARORA,Haryana,SIRSA,IND,IND,18458,M,1,6,2,FALSE,FALSE,30.61,1780,2.95,,2,6
