pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7819,11,0,2009,MAHENDER BHADANA,Haryana,FARIDABAD NIT,BJP,,6956,M,5,1,0,FALSE,FALSE,8.3,2945,3.51,58,,1
9023,5,0,1982,BALBIR SINGH,Haryana,PEHOWA,IND,,18928,M,2,7,1,FALSE,FALSE,33.41,12444,21.96,,1,7
9023,6,0,1987,BALBIR SINGH,Haryana,PEHOWA,LKD,IND,43756,M,1,7,1,FALSE,FALSE,61.41,23594,33.11,,1,7
9023,7,0,1991,BALBIR SINGH,Haryana,PEHOWA,IND,LKD,17344,M,2,7,1,FALSE,TRUE,22.86,3994,5.26,,1,7
9023,8,0,1996,BALBIR SINGH SAINI,Haryana,PEHOWA,INC,IND,21887,M,2,7,1,FALSE,FALSE,24.12,9337,10.29,,1,7
9023,9,0,2000,BALBIR SINGH SAINI,Haryana,PEHOWA,IND,INC,21940,M,2,7,1,FALSE,FALSE,25.04,1356,1.55,,1,7
9023,10,0,2005,BALBIR SINGH SAINI,Haryana,PEHOWA,BJP,IND,30355,M,2,7,1,FALSE,FALSE,30.04,582,0.58,55,1,7
9023,11,0,2009,BALBIR SINGH SAINI,Haryana,PEHOWA,BJP,BJP,19260,M,3,7,1,FALSE,FALSE,18.07,12649,11.87,58,1,7
9038,4,0,1977,RAM KUMAR,Haryana,NARNAUND,IND,,7791,M,3,5,1,FALSE,FALSE,17.9,7447,17.11,,1,5
9038,5,0,1982,RAM KUMAR,Haryana,NARNAUND,IND,IND,7049,M,3,5,1,FALSE,FALSE,12.74,2510,4.54,,1,5
9038,9,0,2000,RAM KUMAR,Haryana,NARNAUND,BJP,IND,15027,M,3,5,1,FALSE,FALSE,19.4,14620,18.87,,1,5
9038,10,0,2005,RAM KUMAR,Haryana,NARNAUND,BJP,BJP,31132,M,1,5,1,FALSE,FALSE,34.1,1399,1.53,58,1,5
