pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
1290,11,0,2009,BALIRAM BHAGWAN SIRASKAR,Maharashtra,BALAPUR,IND,,39581,M,1,2,2,FALSE,FALSE,27.84,1590,1.12,44,2,2
1290,12,0,2014,BALIRAM BHAGWAN SIRSKAR,Maharashtra,BALAPUR,BBM,IND,41426,M,1,2,2,FALSE,TRUE,24.56,6939,4.11,52,2,2
4688,12,0,2014,SAYED IMTIAZ JALIL,Maharashtra,AURANGABAD CENTRAL,AIMIM,,61843,M,1,1,1,FALSE,FALSE,32.81,19982,10.6,46,1,1
5601,12,0,2014,KOTAK MONOJ,Maharashtra,BHANDUP WEST,BJP,,43379,M,2,1,0,FALSE,FALSE,26.26,7196,4.36,42,,1
6169,8,1,1996,Anil Anna Gote,Maharashtra,Yavatmal,SJP(M),,4501,"",7,4,3,FALSE,FALSE,4.16,590,0.54,,3,4
6169,9,0,1999,ANIL (ANNA) GOTE,Maharashtra,DHULE,SJP(M),SJP(M),40986,M,1,4,3,FALSE,FALSE,34.64,3676,3.11,,3,4
6169,11,0,2009,ANIL ANNA GOTE,Maharashtra,DHULE CITY,LKSGM,SJP(M),59576,M,1,4,3,TRUE,FALSE,43.67,28741,21.07,61,3,4
6169,12,0,2014,ANIL ANNA GOTE,Maharashtra,DHULE CITY,BJP,LKSGM,57780,M,1,4,3,TRUE,TRUE,37.14,12928,8.31,66,3,4
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,Maharashtra,PATHRI,SHS,,37437,M,1,6,3,FALSE,FALSE,42.83,14717,16.84,,3,6
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,42598,M,1,6,3,FALSE,TRUE,39.21,17865,16.45,,3,6
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,39242,M,1,6,3,FALSE,TRUE,39.06,6891,6.86,,3,6
AEMH100024,10,0,2004,HARIBHAU VITTHALRAO LAHANE,Maharashtra,P.ATHRI,SHS,SHS,43331,M,2,6,3,FALSE,TRUE,33.27,16699,12.82,45,3,6
AEMH100024,11,0,2009,LAHANE HARIBHAU VITTHALRAO,Maharashtra,JINTUR,SHS,SHS,30576,M,3,6,3,FALSE,FALSE,15.66,27243,13.95,51,3,6
AEMH100024,12,0,2014,HARIBHAU VITTHALRAO LAHANE,Maharashtra,PATHRI,MNS,SHS,5509,M,6,6,3,TRUE,FALSE,2.35,2873,1.23,56,3,6
AEMH100091,8,0,1995,ARVIND BAJIRAO CHAVAN,Maharashtra,BADNAPUR,INC,,16902,M,3,4,1,FALSE,FALSE,12.84,4603,3.5,,1,4
AEMH100091,9,0,1999,CHAVAN ARVIND BAJIRAO,Maharashtra,BADNAPUR,IND,INC,24153,M,2,4,1,FALSE,FALSE,21.25,1693,1.49,,1,4
AEMH100091,10,0,2004,ARVIND BAJIRAO CHAVAN,Maharashtra,BADNAPUR,NCP,IND,56539,M,1,4,1,FALSE,FALSE,38.06,7629,5.14,48,1,4
AEMH100091,12,0,2014,ARVIND BAJIRAO CHAVAN,Maharashtra,JALNA,BJP,NCP,37591,M,3,4,1,TRUE,FALSE,21.13,1241,0.7,58,1,4
AEMH100150,8,0,1995,R.M. WANI,Maharashtra,VAIJAPUR,ICS,,32695,M,2,5,3,FALSE,FALSE,29.3,12644,11.33,,3,5
AEMH100150,9,0,1999,R. M. WANI,Maharashtra,VAIJAPUR,SHS,ICS,51234,M,1,5,3,TRUE,FALSE,48.6,23175,21.98,,3,5
AEMH100150,10,0,2004,WANI RANGNATH MURLIDHAR,Maharashtra,VAIJAPUR,SHS,SHS,41365,M,1,5,3,FALSE,TRUE,30.46,8952,6.59,47,3,5
AEMH100150,11,0,2009,R.M. WANI,Maharashtra,VAIJAPUR,SHS,SHS,51379,M,1,5,3,FALSE,TRUE,30.48,1225,0.73,55,3,5
AEMH100150,12,0,2014,R. M. WANI,Maharashtra,VAIJAPUR,SHS,SHS,48405,M,2,5,3,FALSE,TRUE,25.09,7059,3.66,60,3,5
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,Maharashtra,PAITHAN,SHS,,43802,M,1,5,4,FALSE,FALSE,39.05,18233,16.26,,4,5
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,Maharashtra,PAITHAN,SHS,SHS,48266,M,1,5,4,FALSE,TRUE,48.71,21917,22.12,,4,5
AEMH100252,10,0,2004,BHUMARE SANDIPANRAO ASARAM,Maharashtra,P.AITHAN,SHS,SHS,48462,M,1,5,4,FALSE,TRUE,39.68,5126,4.2,42,4,5
AEMH100252,11,0,2009,BHUMRE SANDIPANRAO AASARAM,Maharashtra,PAITHAN,SHS,SHS,50517,M,2,5,4,FALSE,TRUE,31.77,25739,16.19,47,4,5
AEMH100252,12,0,2014,BHUMRE SANDIPANRAO AASARAM,Maharashtra,PAITHAN,SHS,SHS,66991,M,1,5,4,FALSE,FALSE,34.52,25039,12.9,52,4,5
