pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7823,2,0,1968,LEKHWATI JAIN,Haryana,AMBALA,INC,,14552,F,1,2,2,FALSE,FALSE,55.58,5070,19.36,,2,2
7823,3,0,1972,LAKHWATI JAIN,Haryana,AMBALA,INC,INC,16932,M,1,2,2,FALSE,TRUE,50.67,762,2.28,,2,2
9050,2,0,1968,KANWAR SINGH,Haryana,ROHAT,INC,,11268,M,1,2,1,FALSE,FALSE,53.88,1622,7.76,,1,2
9050,3,0,1972,KANWAR SINGH,Haryana,ROHAT,IND,INC,11726,M,2,2,1,FALSE,TRUE,33.58,1307,3.74,,1,2
9121,2,0,1968,MALIK CHAND,Haryana,YAMUNA NAGAR,BJS,,10243,M,1,2,1,FALSE,FALSE,29.28,2478,7.08,,1,2
9121,3,0,1972,MALIK CHAND GHAMBIR,Haryana,YAMUNA NAGAR,BJS,BJS,16147,M,2,2,1,FALSE,TRUE,34.51,9360,20,,1,2
9134,2,0,1968,HARPAL SINGH,Haryana,TOHANA,VHP,,14621,M,1,2,2,FALSE,FALSE,46.66,6465,20.63,,2,2
9134,3,0,1972,HARPAL SINGH,Haryana,TOHANA,INC,VHP,27907,M,1,2,2,TRUE,TRUE,63.47,18151,41.28,,2,2
9146,2,0,1968,AMIR SINGH,Haryana,BADHRA,VHP,,11460,M,1,2,2,FALSE,FALSE,33.9,2712,8.02,,2,2
9146,3,0,1972,AMAR SINGH,Haryana,BAWANIKHERA,VHP,VHP,23180,M,1,2,2,FALSE,FALSE,60.22,7866,20.43,,2,2
AEHR100212,1,1,1967,HARI SINGH,Haryana,BAHADURGARH,INC,,15401,M,2,3,1,FALSE,FALSE,33.82,14439,31.71,,1,3
AEHR100212,2,0,1968,HARI SINGH,Haryana,HANSI,INC,INC,13608,M,1,3,1,FALSE,FALSE,46.28,4245,14.44,,1,3
AEHR100212,3,0,1972,HARI SINGH,Haryana,HANSI,INC,INC,11143,M,2,3,1,FALSE,TRUE,27.61,3074,7.62,,1,3
AEHR1004,3,0,1972,KHUSHVANT SINGH,Haryana,PEHOWA,IND,,15391,M,2,1,0,FALSE,FALSE,31.45,9016,18.43,,,1
AEHR1005,3,0,1972,CHIMAN LAL,Haryana,PEHOWA,BJS,,6375,M,3,1,0,FALSE,FALSE,13.03,2360,4.82,,,1
AEHR1009,3,0,1972,BHAGAT RAM S/O HANSA,Haryana,KALAYAT,NCO,,17032,M,1,1,1,FALSE,FALSE,44.22,1220,3.17,,1,1
AEHR1010,3,0,1972,BHAGAT RAM S/O JAMNI,Haryana,KALAYAT,INC,,15812,M,2,1,0,FALSE,FALSE,41.06,12416,32.24,,,1
AEHR1014,3,0,1972,GAURI SHANKAR,Haryana,NARWANA,NCO,,17482,M,1,1,1,FALSE,FALSE,36.16,1749,3.62,,1,1
AEHR1015,3,0,1972,TEK CHAND,Haryana,NARWANA,BAS,,15733,M,2,1,0,FALSE,FALSE,32.54,4647,9.61,,,1
AEHR1016,3,0,1972,BRINDER SINGH,Haryana,NARWANA,INC,,11086,M,3,1,0,FALSE,FALSE,22.93,9119,18.86,,,1
AEHR1021,3,0,1972,DAL SINGH,Haryana,JIND,NCO,,28281,M,1,1,1,FALSE,FALSE,54.29,6282,12.06,,1,1
AEHR1025,3,0,1972,FATEH SINGH,Haryana,JULANA,INC,,30033,M,1,1,1,FALSE,FALSE,65.54,14245,31.09,,1,1
AEHR1026,3,0,1972,RAM SINGH,Haryana,JULANA,NCO,,15788,M,2,1,0,FALSE,FALSE,34.46,0,0,,,1
AEHR1027,3,0,1972,DHAJA RAM,Haryana,SAFIDON,INC,,19570,M,1,1,1,FALSE,FALSE,45.86,108,0.25,,1,1
AEHR1032,3,0,1972,UMED,Haryana,MEHAM,IND,,19654,M,1,1,1,FALSE,FALSE,44.94,612,1.4,,1,1
AEHR104,1,0,1967,R. SINGH,Haryana,RAJAUND,INC,,16992,M,1,3,2,FALSE,FALSE,41.81,6060,14.91,,2,3
AEHR104,2,0,1968,RAJ SINGH,Haryana,MEHAM,INC,INC,16479,M,1,3,2,FALSE,TRUE,48.95,226,0.67,,2,3
AEHR104,3,0,1972,RAJ SINGH,Haryana,MEHAM,INC,INC,19042,M,2,3,2,FALSE,TRUE,43.54,14496,33.15,,2,3
AEHR1042,3,0,1972,SIRI CHAND,Haryana,GOHANA,BAS,,5666,M,3,1,0,FALSE,FALSE,12.76,729,1.64,,,1
AEHR1044,3,0,1972,BIJE SINGH,Haryana,GOHANA,VHP,,1662,M,5,1,0,FALSE,FALSE,3.74,1243,2.8,,,1
AEHR1049,3,0,1972,CHIARANJI LAL,Haryana,SONEPAT,INC,,25183,M,1,1,1,FALSE,FALSE,56.74,8120,18.29,,1,1
AEHR1050,3,0,1972,VAS DEV,Haryana,SONEPAT,BJS,,17063,M,2,1,0,FALSE,FALSE,38.44,15558,35.05,,,1
AEHR1053,3,0,1972,RIZAQ RAM,Haryana,RAI,NCO,,19631,M,1,1,1,FALSE,FALSE,47.3,929,2.24,,1,1
