pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
1290,11,0,2009,BALIRAM BHAGWAN SIRASKAR,Maharashtra,BALAPUR,IND,,39581,M,1,1,1,FALSE,FALSE,27.84,1590,1.12,44,1,1
6135,3,0,1972,N A SHANKERRAO,Maharashtra,NANDED,CPI,,5603,M,3,4,3,FALSE,FALSE,10,1637,2.92,,3,4
6135,9,0,1999,ASHOKRAO SHANKARRAO CHAVAN,Maharashtra,MUDKHED,INC,CPI,67727,M,1,4,3,TRUE,FALSE,59.02,40534,35.32,,3,4
6135,10,0,2004,ASHOKRAO SHANKARRAO CHAVAN,Maharashtra,MUDKHED,INC,INC,105932,M,1,4,3,FALSE,TRUE,62.15,70454,41.33,45,3,4
6135,11,0,2009,ASHOK SHANKARRAO CHAVAN,Maharashtra,BHOKAR,INC,INC,120849,M,1,4,3,FALSE,TRUE,79.65,107503,70.85,50,3,4
6169,8,1,1996,Anil Anna Gote,Maharashtra,Yavatmal,SJP(M),,4501,"",7,3,2,FALSE,FALSE,4.16,590,0.54,,2,3
6169,9,0,1999,ANIL (ANNA) GOTE,Maharashtra,DHULE,SJP(M),SJP(M),40986,M,1,3,2,FALSE,FALSE,34.64,3676,3.11,,2,3
6169,11,0,2009,ANIL ANNA GOTE,Maharashtra,DHULE CITY,LKSGM,SJP(M),59576,M,1,3,2,TRUE,FALSE,43.67,28741,21.07,61,2,3
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,Maharashtra,PATHRI,SHS,,37437,M,1,5,3,FALSE,FALSE,42.83,14717,16.84,,3,5
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,42598,M,1,5,3,FALSE,TRUE,39.21,17865,16.45,,3,5
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,39242,M,1,5,3,FALSE,TRUE,39.06,6891,6.86,,3,5
