pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7824,5,0,1993,RAM VIR SINGH BIDHURI,Delhi,BADARPUR,JD,,22102,M,1,1,1,FALSE,FALSE,41.61,7066,13.3,,1,1
7901,2,0,1972,JAG PRAVESH CHANDER,Delhi,JANGPURA,INC,,10507,M,1,4,3,FALSE,FALSE,58.07,3169,17.52,,3,4
7901,3,0,1977,JAG PRAVESH CHANDRA,Delhi,JANGPURA,INC,INC,9451,M,2,4,3,FALSE,TRUE,42.59,8934,40.26,,3,4
7901,4,0,1983,JAG PARVESH,Delhi,JANGPURA,INC,INC,15824,M,1,4,3,FALSE,FALSE,60,6263,23.75,,3,4
7901,5,0,1993,JAG PARVESH CHANDRA,Delhi,JANGPURA,INC,INC,24200,M,1,4,3,FALSE,TRUE,47.4,2491,4.88,,3,4
7908,5,0,1993,OM PRAKASH RANGA,Delhi,BAWANA,INC,,14876,M,3,1,0,FALSE,FALSE,28.71,13817,26.67,,,1
7913,5,0,1993,RAJENDRA GUPTA,Delhi,MALVIYA NAGAR,BJP,,19319,M,1,1,1,FALSE,FALSE,42.99,258,0.57,,1,1
AEDL103989,5,0,1993,RAMPHAL TYAGI,Delhi,BHALSWA JAHANGIRPUR,BJP,,14124,M,2,1,0,FALSE,FALSE,23.65,2349,3.93,,,1
AEDL104161,5,0,1993,PREM DAS AHUJA,Delhi,SAROJINI NAGAR,INC,,12111,F,2,1,0,FALSE,FALSE,29.38,9967,24.18,,,1
AEDL104162,5,0,1993,F.C. PAWAR,Delhi,SAROJINI NAGAR,JD,,2144,M,3,1,0,FALSE,FALSE,5.2,1991,4.83,,,1
AEDL104171,5,0,1993,KIRTI AZAD,Delhi,GOLE MARKET,BJP,,18935,M,1,1,1,FALSE,FALSE,46.79,3803,9.4,,1,1
AEDL104172,5,0,1993,BRIJ MOHAN BHAMA,Delhi,GOLE MARKET,INC,,15132,M,2,1,0,FALSE,FALSE,37.39,11236,27.76,,,1
AEDL104173,5,0,1993,HIMANSHU PANDE,Delhi,GOLE MARKET,JD,,3896,M,3,1,0,FALSE,FALSE,9.63,2693,6.65,,,1
AEDL104194,5,0,1993,ARUN JAIN,Delhi,MINTO ROAD,BJP,,16540,M,2,1,0,FALSE,FALSE,39.38,10895,25.94,,,1
AEDL104212,5,0,1993,JAGDISH LAL BATRA,Delhi,KASTURBA NAGAR,BJP,,25215,M,1,1,1,FALSE,FALSE,55.72,10056,22.22,,1,1
AEDL104214,5,0,1993,LAXMI CHAND CHECHI,Delhi,KASTURBA NAGAR,JD,,3671,M,3,1,0,FALSE,FALSE,8.11,3063,6.77,,,1
AEDL104228,5,0,1993,P. CHAKRABORTY,Delhi,JANGPURA,JD,,3382,M,3,1,0,FALSE,FALSE,6.62,2918,5.72,,,1
AEDL104240,5,0,1993,PARVEJ,Delhi,OKHLA,JD,,13282,M,1,1,1,FALSE,FALSE,30.91,1307,3.04,,1,1
AEDL104241,5,0,1993,HASAN AHMED,Delhi,OKHLA,INC,,11975,M,2,1,0,FALSE,FALSE,27.87,1896,4.41,,,1
AEDL104242,5,0,1993,SIRAJ PRACHA,Delhi,OKHLA,BJP,,10079,M,3,1,0,FALSE,FALSE,23.46,6967,16.22,,,1
AEDL104272,5,0,1993,PURNIMA SETHI,Delhi,KALKAJI,BJP,,22468,F,1,1,1,FALSE,FALSE,47.51,4012,8.48,,1,1
AEDL104275,5,0,1993,VASANTHA NANDA KUMAR,Delhi,KALKAJI,JD,,1352,F,4,1,0,FALSE,FALSE,2.86,996,2.11,,,1
AEDL104289,5,0,1993,YOGA NAND SHASTRI,Delhi,MALVIYA NAGAR,INC,,19061,M,2,1,0,FALSE,FALSE,42.41,14530,32.33,,,1
AEDL104290,5,0,1993,RANJIT SHASTRI,Delhi,MALVIYA NAGAR,JD,,4531,M,3,1,0,FALSE,FALSE,10.08,3417,7.6,,,1
AEDL104301,5,0,1993,KULWANT KUMAR GUPTA,Delhi,HAUZ KHAS,JD,,4844,M,3,1,0,FALSE,FALSE,11.8,4490,10.93,,,1
AEDL104316,5,0,1993,USHA KRISHANA KUMAR,Delhi,R.K.PURAM,INC,,16178,F,2,1,0,FALSE,FALSE,36.88,9169,20.9,,,1
AEDL104317,5,0,1993,SHANTI SWAROOP,Delhi,R.K.PURAM,JD,,7009,M,3,1,0,FALSE,FALSE,15.98,5965,13.6,,,1
AEDL104330,5,0,1993,KIRAN CHAUDHARY,Delhi,DELHI CANTONMENT,INC,,14391,F,2,1,0,FALSE,FALSE,37.03,13963,35.93,,,1
AEDL104332,5,0,1993,JAWAHAR SINGH,Delhi,DELHI CANTONMENT,JD,,373,M,4,1,0,FALSE,FALSE,0.96,219,0.56,,,1
AEDL104346,5,0,1993,SHAILENDER S/O M.P. SAHI,Delhi,JANAK PURI,INC,,17852,M,2,1,0,FALSE,FALSE,32.93,17097,31.53,,,1
AEDL104347,5,0,1993,KUNWAR CHATTER SINGH,Delhi,JANAK PURI,JD,,755,M,3,1,0,FALSE,FALSE,1.39,335,0.62,,,1
AEDL104368,5,0,1993,HARSARAN SINGH BALLI,Delhi,HARI NAGAR,BJP,,31150,M,1,1,1,FALSE,FALSE,59.35,16899,32.2,,1,1
AEDL104370,5,0,1993,GURCHARAN SINGH BANNAR,Delhi,HARI NAGAR,JD,,2697,M,3,1,0,FALSE,FALSE,5.14,1700,3.24,,,1
AEDL104399,5,0,1993,TERVINDER SINGH MARWAH,Delhi,TILAK NAGAR,INC,,17341,M,2,1,0,FALSE,FALSE,31.73,16477,30.15,,,1
AEDL104400,5,0,1993,MUKHTAR SINGH,Delhi,TILAK NAGAR,JD,,864,M,3,1,0,FALSE,FALSE,1.58,7,0.01,,,1
AEDL104423,5,0,1993,AJAY MAKAN,Delhi,RAJOURI GARDEN,INC,,28075,M,1,1,1,FALSE,FALSE,50.95,3551,6.44,,1,1
AEDL104424,5,0,1993,MANOHAR LAL KUMAR,Delhi,RAJOURI GARDEN,BJP,,24524,M,2,1,0,FALSE,FALSE,44.51,23070,41.87,,,1
AEDL104425,5,0,1993,JAI PRAKASH TYAGI,Delhi,RAJOURI GARDEN,JD,,1454,M,3,1,0,FALSE,FALSE,2.64,1251,2.27,,,1
AEDL104442,5,0,1993,MALA RAM GANGWAL,Delhi,MADIPUR,INC,,23986,M,2,1,0,FALSE,FALSE,42.47,22189,39.28,,,1
AEDL104443,5,0,1993,B.L. GAUTAM,Delhi,MADIPUR,JD,,1797,M,3,1,0,FALSE,FALSE,3.18,911,1.61,,,1
AEDL104453,5,0,1993,NAND KISHORE GARG,Delhi,TRI NAGAR,BJP,,28872,M,1,1,1,FALSE,FALSE,55.55,8673,16.69,,1,1
AEDL104454,5,0,1993,DEEP CHAND SHARMA,Delhi,TRI NAGAR,INC,,20199,M,2,1,0,FALSE,FALSE,38.86,18997,36.55,,,1
AEDL104455,5,0,1993,NATHU SINGH GARG,Delhi,TRI NAGAR,JD,,1202,M,3,1,0,FALSE,FALSE,2.31,705,1.36,,,1
AEDL104473,5,0,1993,GAURI SHANKAR BHARDWAJ,Delhi,SHAKURBASTI,BJP,,28933,M,1,1,1,FALSE,FALSE,51.45,7496,13.33,,1,1
AEDL104474,5,0,1993,KAMAL KANT SHARMA,Delhi,SHAKURBASTI,INC,,21437,M,2,1,0,FALSE,FALSE,38.12,19148,34.05,,,1
AEDL104475,5,0,1993,SURESH YADAV,Delhi,SHAKURBASTI,JD,,2289,M,3,1,0,FALSE,FALSE,4.07,588,1.05,,,1
AEDL104492,5,0,1993,JOGINDER SINGH,Delhi,SHALIMAR BAGH,JD,,1328,M,3,1,0,FALSE,FALSE,2.16,436,0.71,,,1
AEDL104513,5,0,1993,JAI BHAGWAN,Delhi,BADLI,BJP,,30420,M,1,1,1,FALSE,FALSE,48.75,9832,15.76,,1,1
AEDL104514,5,0,1993,RAJESH YADAV,Delhi,BADLI,INC,,20588,M,2,1,0,FALSE,FALSE,32.99,15081,24.17,,,1
AEDL104515,5,0,1993,SATISH YADAV,Delhi,BADLI,JD,,5507,M,3,1,0,FALSE,FALSE,8.82,2492,3.99,,,1
AEDL104541,5,0,1993,JET RAM SOLANKI,Delhi,SAHIBABAD DAULATPUR,BJP,,25372,M,1,1,1,FALSE,FALSE,48.02,8696,16.46,,1,1
AEDL104542,5,0,1993,ISHWAR SINGH,Delhi,SAHIBABAD DAULATPUR,INC,,16676,M,2,1,0,FALSE,FALSE,31.56,13284,25.14,,,1
AEDL104544,5,0,1993,DEEP CHAND,Delhi,SAHIBABAD DAULATPUR,JD,,2860,M,4,1,0,FALSE,FALSE,5.41,978,1.85,,,1
AEDL104566,5,0,1993,CHAND RAM,Delhi,BAWANA,BJP,,18383,M,1,1,1,FALSE,FALSE,35.48,2195,4.24,,1,1
AEDL104567,5,0,1993,RAJENDER SINGH,Delhi,BAWANA,JD,,16188,M,2,1,0,FALSE,FALSE,31.24,1312,2.53,,,1
AEDL104574,5,0,1993,JAI KISHAN,Delhi,SULTANPUR MAJRA,INC,,20890,M,1,1,1,FALSE,FALSE,37.75,7412,13.39,,1,1
AEDL104575,5,0,1993,NAND RAM BAGRI,Delhi,SULTANPUR MAJRA,JD,,13478,M,2,1,0,FALSE,FALSE,24.36,916,1.66,,,1
AEDL104576,5,0,1993,BHAGWAN DASS,Delhi,SULTANPUR MAJRA,BJP,,12562,M,3,1,0,FALSE,FALSE,22.7,9669,17.47,,,1
AEDL104589,5,0,1993,RAJ KUMAR CHAUHAN,Delhi,MANGOLPURI,INC,,21344,M,1,1,1,FALSE,FALSE,41.5,7663,14.9,,1,1
AEDL104590,5,0,1993,SORAN SINGH NIRALA,Delhi,MANGOLPURI,BJP,,13681,M,2,1,0,FALSE,FALSE,26.6,6474,12.59,,,1
AEDL104591,5,0,1993,TEJ SINGH,Delhi,MANGOLPURI,JD,,7207,M,3,1,0,FALSE,FALSE,14.01,1638,3.19,,,1
AEDL104615,5,0,1993,DAVINDER SINGH,Delhi,NANGLOI JAT,BJP,,28427,M,1,1,1,FALSE,FALSE,54.13,12140,23.12,,1,1
AEDL104617,5,0,1993,ANIL YADAV,Delhi,NANGLOI JAT,JD,,5457,M,3,1,0,FALSE,FALSE,10.39,4766,9.08,,,1
AEDL104630,5,0,1993,MAHINDER SINGH SAATHI,Delhi,VISHNU GARDEN,INC,,17962,M,1,1,1,FALSE,FALSE,35.46,5710,11.27,,1,1
AEDL104631,5,0,1993,DAYA NAND CHANDILA,Delhi,VISHNU GARDEN,IND,,12252,M,2,1,0,FALSE,FALSE,24.18,1166,2.3,,,1
AEDL104632,5,0,1993,R.P. SINGH,Delhi,VISHNU GARDEN,BJP,,11086,M,3,1,0,FALSE,FALSE,21.88,3996,7.89,,,1
AEDL104633,5,0,1993,BALWINDER SINGH TALWANDI,Delhi,VISHNU GARDEN,JD,,7090,M,4,1,0,FALSE,FALSE,13.99,6283,12.4,,,1
