pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
9417,1,0,1962,KRISHNA RAMAJI MUNDHE,Maharashtra,KHALAPUR,PWP,,17027,M,1,1,1,FALSE,FALSE,51.4,5177,15.63,,1,1
AEMH100465,1,0,1962,SHIVAJIRAO BHAWANRAO PATIL,Maharashtra,MALSIRAS,IND,,20767,M,2,1,0,FALSE,FALSE,38.06,19652,36.01,,,1
AEMH106160,1,0,1962,SADASHIV NARAYAN BHALERAO,Maharashtra,JALGAON,CPI,,8043,M,2,1,0,FALSE,FALSE,22.69,1817,5.13,,,1
AEMH107209,1,0,1962,SAMPATRAO MARUTI PATIL,Maharashtra,KARMALA,PWP,,11296,M,3,1,0,FALSE,FALSE,26.79,10273,24.37,,,1
AEMH107701,1,0,1962,ABDUL RAHIM A. GAFOOR ANTULAY,Maharashtra,SHRIWARDHAN,INC,,16684,M,1,1,1,FALSE,FALSE,57.49,9209,31.73,,1,1
AEMH107805,1,0,1962,SHAKUNTALA CHINTAMAN SALVE,Maharashtra,NAIGAUM,INC,,20731,F,1,1,1,FALSE,FALSE,39.4,4317,8.2,,1,1
AEMH109060,1,0,1962,SHAMKANT DAMODAR MORE,Maharashtra,SIRUR,PSP,,11334,M,2,1,0,FALSE,FALSE,42.45,9768,36.59,,,1
AEMH109233,1,0,1962,YESHWANT BABAJI DALVI,Maharashtra,KANKAOLI,PSP,,10035,M,1,1,1,FALSE,FALSE,39.32,1356,5.31,,1,1
AEMH109235,1,0,1962,SITARAM SAKHARAM SAWANT,Maharashtra,KANKAOLI,PWP,,4864,M,3,1,0,FALSE,FALSE,19.06,3751,14.7,,,1
AEMH109281,1,0,1962,PANDURANG RAMAJI SANAP,Maharashtra,ROHA,PWP,,17466,M,1,1,1,FALSE,FALSE,47.68,1860,5.08,,1,1
AEMH109398,1,0,1962,FREDRICK MICHAEL PINTO,Maharashtra,MAHIM,PSP,,19036,M,1,1,1,FALSE,FALSE,41.28,2307,5,,1,1
AEMH109651,1,0,1962,GYANDEO TUKARAM DEORE,Maharashtra,NANDGAON,REP,,6319,M,3,1,0,FALSE,FALSE,12.42,0,0,,,1
AEMH109652,1,0,1962,VYANKATRAO BHAUSAHEB HIRE,Maharashtra,NANDGAON,INC,,30651,M,1,1,1,FALSE,FALSE,60.24,16739,32.9,,1,1
AEMH109710,1,0,1962,PRAHLADRAO MADHAVRAO PATIL,Maharashtra,SHIRPUR,JS,,10916,M,2,1,0,FALSE,FALSE,27.11,8625,21.42,,,1
AEMH109724,1,0,1962,ZULAL BHILAJIRAO PATIL,Maharashtra,DHULIA NORTH,PWP,,7634,M,2,1,0,FALSE,FALSE,18.86,3791,9.36,,,1
AEMH109845,1,0,1962,TULSIRAM PANDHARI DHOKNE,Maharashtra,JALAMB,INC,,21774,M,2,1,0,FALSE,FALSE,40.57,19365,36.08,,,1
AEMH109967,1,0,1962,UMERLALJI MATHURADAS KEDIA,Maharashtra,AMRAVATI,INC,,27838,M,1,1,1,FALSE,FALSE,52.21,6960,13.05,,1,1
AEMH110107,1,0,1962,RAMJI CHIMNAJI NAIK,Maharashtra,SAONER,IND,,9771,M,2,1,0,FALSE,FALSE,23.64,3788,9.16,,,1
AEMH110174,1,0,1962,SHAMRAO PAGA KAPGATE,Maharashtra,SAKOLI,JS,,14324,M,2,1,0,FALSE,FALSE,26.95,576,1.08,,,1
AEMH110739,1,0,1962,EKNATH SHANKAR DESHMUKH,Maharashtra,NAGAR AKOLA,PSP,,5973,M,3,1,0,FALSE,FALSE,17.49,3796,11.11,,,1
AEMH110816,1,0,1962,JAYSING GANPAT SASANE,Maharashtra,POONA CANTONMENT,PSP,,6474,M,2,1,0,FALSE,FALSE,19.61,3980,12.05,,,1
AEMH110939,1,0,1962,GANPATI DADA LAD,Maharashtra,TASGAON,PWP,,18932,M,2,1,0,FALSE,FALSE,35.48,17933,33.61,,,1
AEMH111073,1,0,1962,GANGARAM BHIKAJI KAMBALE,Maharashtra,MAKHAJAN,REP,,2134,M,4,1,0,FALSE,FALSE,10.53,0,0,,,1
AEMH111186,1,0,1962,MADHAV NARAYAN BIRJE,Maharashtra,WORLI,INC,,24041,M,1,1,1,FALSE,FALSE,43.39,6033,10.89,,1,1
AEMH111255,1,0,1962,VADILAL CHATRABHUJ GANDHI,Maharashtra,CHEMBUR,INC,,59446,M,1,1,1,FALSE,FALSE,56.19,40127,37.93,,1,1
AEMH111300,1,0,1962,DHAKATYA POSHA SUTAR,Maharashtra,KASA,CPI,,20032,M,1,1,1,FALSE,FALSE,59.36,10133,30.02,,1,1
AEMH111360,1,0,1962,SHANKAR BHIKAJI POTINDE,Maharashtra,PEINT,PWP,,5928,M,3,1,0,FALSE,FALSE,25,0,0,,,1
AEMH111464,1,0,1962,GOPALRAO SAKHARAM JADHAO,Maharashtra,JANEFAL,REP,,6105,M,3,1,0,FALSE,FALSE,17.51,3994,11.45,,,1
AEMH111474,1,0,1962,KASHIRAO RAIBHAN PATIL,Maharashtra,JALAMB,PWP,,25207,M,1,1,1,FALSE,FALSE,46.97,3433,6.4,,1,1
AEMH111695,1,0,1962,ABA DHONDU GOSAWI,Maharashtra,ADYAR,REP,,15791,M,1,1,1,FALSE,FALSE,40.54,208,0.53,,1,1
AEMH111711,1,0,1962,VITHALRAO LAXMANRAO DHOTE,Maharashtra,RAJURA,INC,,22818,M,1,1,1,FALSE,FALSE,43.98,73,0.14,,1,1
AEMH111934,1,0,1962,LAXMAN DHONDIBA ARKADE,Maharashtra,UDGIR,PSP,,1669,M,3,1,0,FALSE,FALSE,5.42,0,0,,,1
AEMH112013,1,0,1962,AUDUMBER KONDIBA PATIL,Maharashtra,PANDHARPUR,INC,,28246,M,1,1,1,FALSE,FALSE,59.34,14971,31.45,,1,1
AEMH112059,1,0,1962,MOHANRAO ABASAHEB GADE,Maharashtra,SHIRDI,IND,,16486,M,2,1,0,FALSE,FALSE,36.5,0,0,,,1
AEMH112211,1,0,1962,SADASHIVA DAULATRAO PATIL,Maharashtra,PANHALA,PWP,,15529,M,1,1,1,FALSE,FALSE,54.06,2331,8.11,,1,1
AEMH112494,1,0,1962,B. K. KHOPKAR,Maharashtra,THANA,CPI,,11432,M,2,1,0,FALSE,FALSE,23.12,1953,3.95,,,1
AEMH113494,1,0,1962,KALARAM SHANKAR DHARIA,Maharashtra,COLABA,INC,,19351,M,1,1,1,FALSE,FALSE,53.89,12278,34.19,,1,1
AEMH113495,1,0,1962,PHIROZE JAMSHEDJI SHROFF,Maharashtra,COLABA,SWA,,7073,M,2,1,0,FALSE,FALSE,19.7,1916,5.34,,,1
AEMH113496,1,0,1962,PENAMBUR VISHNU NARAYAN UPADHYAY,Maharashtra,COLABA,CPI,,5157,M,3,1,0,FALSE,FALSE,14.36,2991,8.33,,,1
AEMH113497,1,0,1962,PALKHAT CHANDY CHERIYAN,Maharashtra,COLABA,SOC,,2166,M,4,1,0,FALSE,FALSE,6.03,7,0.02,,,1
AEMH113499,1,0,1962,ABDUL KADAR SALEBHOY,Maharashtra,MANDVI,INC,,19101,M,1,1,1,FALSE,FALSE,49.61,10383,26.97,,1,1
AEMH113500,1,0,1962,MANOHAR GOPINATH KOTWAL,Maharashtra,MANDVI,PSP,,8718,M,2,1,0,FALSE,FALSE,22.64,3089,8.02,,,1
