pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
6912,11,0,2020,DILIP PANDEY,Delhi,TIMARPUR,AAAP,,71432,M,1,1,1,FALSE,FALSE,57.6,24144,19.47,39,1,1
6937,11,0,2020,ATISHI,Delhi,KALKAJI,AAAP,,55897,F,1,1,1,FALSE,FALSE,52.28,11393,10.66,38,1,1
7024,11,0,2020,RAGHAV CHADHA,Delhi,RAJINDER NAGAR,AAAP,,59135,M,1,1,1,FALSE,FALSE,57.06,20058,19.35,31,1,1
7824,5,0,1993,RAM VIR SINGH BIDHURI,Delhi,BADARPUR,JD,,22102,M,1,7,4,FALSE,FALSE,41.61,7066,13.3,,4,7
7824,6,0,1998,RAMVIR SINGH BIDHURI,Delhi,BADARPUR,INC,JD,26259,M,2,7,4,TRUE,TRUE,29.46,17401,19.52,,4,7
7824,7,0,2003,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,NCP,INC,40224,M,1,7,4,TRUE,FALSE,38.31,436,0.42,,4,7
7824,8,0,2008,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,INC,NCP,40105,M,2,7,4,TRUE,TRUE,35.52,24488,21.69,55,4,7
7824,9,0,2013,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,BJP,INC,45344,M,1,7,4,TRUE,FALSE,34.23,13854,10.46,60,4,7
7824,10,0,2015,RAMVIR SINGH BIDHURI,Delhi,BADARPUR,BJP,BJP,46659,M,2,7,4,FALSE,TRUE,27.38,27729,16.27,62,4,7
7824,11,0,2020,RAMVIR SINGH BIDHURI,Delhi,BADARPUR,BJP,BJP,90082,M,1,7,4,FALSE,FALSE,47.05,3719,1.94,67,4,7
AEDL100156,10,0,2015,MOHINDER GOYAL,Delhi,RITHALA,AAAP,,93470,M,1,2,2,FALSE,FALSE,56.63,29251,17.72,51,2,2
AEDL100156,11,0,2020,MOHINDER GOYAL,Delhi,RITHALA,AAAP,AAAP,87940,M,1,2,2,FALSE,TRUE,52.63,13873,8.3,55,2,2
AEDL100186,10,0,2015,RITURAJ GOVIND,Delhi,KIRARI,AAAP,,97727,M,1,2,2,FALSE,FALSE,61.66,45172,28.5,26,2,2
AEDL100186,11,0,2020,RITURAJ GOVIND,Delhi,KIRARI,AAAP,AAAP,86312,M,1,2,2,FALSE,TRUE,49.77,5654,3.26,31,2,2
AEDL100203,10,0,2015,RAGHUVINDER SHOKEEN,Delhi,NANGLOI JAT,AAAP,,83259,M,1,2,2,FALSE,FALSE,54.64,37024,24.3,48,2,2
AEDL100203,11,0,2020,RAGHUVINDER SHOKEEN,Delhi,NANGLOI JAT,AAAP,AAAP,74444,M,1,2,2,FALSE,TRUE,49.21,11624,7.68,53,2,2
AEDL100231,10,0,2015,REKHA GUPTA,Delhi,SHALIMAR BAGH,BJP,,51678,F,2,2,0,FALSE,FALSE,43.01,48478,40.34,40,,2
AEDL100231,11,0,2020,REKHA GUPTA,Delhi,SHALIMAR BAGH,BJP,BJP,54267,F,2,2,0,FALSE,FALSE,46.46,51776,44.33,45,,2
AEDL100239,10,0,2015,SATYENDAR JAIN,Delhi,SHAKUR BASTI,AAAP,,51530,M,1,2,2,FALSE,FALSE,48.67,3133,2.96,50,2,2
AEDL100239,11,0,2020,SATYENDAR JAIN,Delhi,SHAKUR BASTI,AAAP,AAAP,51165,M,1,2,2,FALSE,TRUE,51.6,7592,7.66,55,2,2
AEDL100260,10,0,2015,RAJESH GUPTA,Delhi,WAZIRPUR,AAAP,,61208,M,1,2,2,FALSE,FALSE,54.85,22044,19.76,36,2,2
AEDL100260,11,0,2020,RAJESH GUPTA,Delhi,WAZIRPUR,AAAP,AAAP,57331,M,1,2,2,FALSE,TRUE,52.64,11690,10.73,41,2,2
AEDL100321,10,0,2015,IMRAN HUSSAIN,Delhi,BALLIMARAN,AAAP,,57118,M,1,2,2,FALSE,FALSE,59.71,33877,35.42,33,2,2
AEDL100321,11,0,2020,IMRAN HUSSAIN,Delhi,BALLIMARAN,AAAP,AAAP,65644,M,1,2,2,FALSE,TRUE,64.65,36172,35.63,38,2,2
AEDL100350,10,0,2015,SHIV CHARAN GOEL,Delhi,MOTI NAGAR,AAAP,,60223,M,1,2,2,FALSE,FALSE,53.13,15221,13.43,53,2,2
AEDL100350,11,0,2020,SHIV CHARAN GOEL,Delhi,MOTI NAGAR,AAAP,AAAP,60622,M,1,2,2,FALSE,TRUE,53.83,14072,12.5,57,2,2
AEDL100357,10,0,2015,RAJ KUMAR,Delhi,MADIPUR,BJP,,37184,M,2,2,0,FALSE,FALSE,31.97,26834,23.07,46,,2
AEDL100357,11,0,2020,RAJ KUMAR,Delhi,KONDLI,BJP,BJP,50441,M,2,2,0,FALSE,FALSE,39.2,44580,34.64,52,,2
AEDL100362,10,0,2015,JARNAIL SINGH,Delhi,RAJOURI GARDEN,AAAP,,54916,M,1,2,2,FALSE,FALSE,46.55,10036,8.51,41,2,2
AEDL100362,11,0,2020,JARNAIL SINGH,Delhi,TILAK NAGAR,AAAP,AAAP,62436,M,1,2,2,FALSE,FALSE,62.2,28029,27.92,38,2,2
AEDL100408,10,0,2015,SANJAY SINGH,Delhi,VIKASPURI,BJP,,54772,M,2,2,0,FALSE,FALSE,25.86,35232,16.63,40,,2
AEDL100408,11,0,2020,SANJAY SINGH,Delhi,VIKASPURI,BJP,BJP,91840,M,2,2,0,FALSE,FALSE,38.38,83521,34.9,45,,2
AEDL100416,10,0,2015,NARESH BALYAN,Delhi,UTTAM NAGAR,AAAP,,85881,M,1,2,2,FALSE,FALSE,51.99,30419,18.42,38,2,2
AEDL100416,11,0,2020,NARESH BALYAN,Delhi,UTTAM NAGAR,AAAP,AAAP,99622,M,1,2,2,FALSE,TRUE,54.57,19759,10.82,43,2,2
AEDL100454,10,0,2015,KAILASH GAHLOT,Delhi,NAJAFGARH,AAAP,,55598,M,1,2,2,FALSE,FALSE,34.62,1555,0.97,40,2,2
AEDL100454,11,0,2020,KAILASH GAHLOT,Delhi,NAJAFGARH,AAAP,AAAP,81507,M,1,2,2,FALSE,TRUE,49.86,6231,3.81,45,2,2
AEDL100525,10,0,2015,RAVINDER CHOUDHRY,Delhi,KASTURBA NAGAR,BJP,,34870,M,2,2,0,FALSE,FALSE,35.41,23637,24,44,,2
AEDL100525,11,0,2020,RAVINDER CHOUDHRY,Delhi,KASTURBA NAGAR,BJP,BJP,33935,M,2,2,0,FALSE,FALSE,37,14287,15.58,49,,2
AEDL100543,10,0,2015,PARMILA TOKAS,Delhi,R K PURAM,AAAP,,54645,F,1,2,2,FALSE,FALSE,56.77,19068,19.81,37,2,2
AEDL100543,11,0,2020,PRAMILA TOKAS,Delhi,R K PURAM,AAAP,AAAP,47208,F,1,2,2,FALSE,TRUE,52.45,10369,11.52,42,2,2
AEDL100555,10,0,2015,NARESH YADAV,Delhi,MEHRAULI,AAAP,,58125,M,1,2,2,FALSE,FALSE,51.06,16951,14.89,42,2,2
AEDL100555,11,0,2020,NARESH YADAV,Delhi,MEHRAULI,AAAP,AAAP,62417,M,1,2,2,FALSE,TRUE,54.27,18161,15.79,47,2,2
AEDL100561,10,0,2015,KARTAR SINGH TANWAR,Delhi,CHHATARPUR,AAAP,,67645,M,1,2,2,FALSE,FALSE,54.29,22240,17.85,52,2,2
AEDL100561,11,0,2020,KARTAR SINGH TANWAR,Delhi,CHHATARPUR,AAAP,AAAP,69411,M,1,2,2,FALSE,TRUE,49.13,3720,2.63,57,2,2
AEDL100570,10,0,2015,ARVIND KUMAR,Delhi,DEOLI,BJP,,32593,M,2,2,0,FALSE,FALSE,23.84,27625,20.21,38,,2
AEDL100570,11,0,2020,ARVIND KUMAR,Delhi,DEOLI,BJP,BJP,52402,M,2,2,0,FALSE,FALSE,34.86,49691,33.06,45,,2
AEDL100575,10,0,2015,AJAY DUTT,Delhi,AMBEDKAR NAGAR,AAAP,,66632,M,1,2,2,FALSE,FALSE,68.39,42460,43.58,39,2,2
AEDL100575,11,0,2020,AJAY DUTT,Delhi,AMBEDKAR NAGAR,AAAP,AAAP,62871,M,1,2,2,FALSE,TRUE,62.25,28327,28.05,44,2,2
