pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
6148,2,0,1967,S. B. PATIL,Maharashtra,PACHORA,INC,,23668,M,1,1,1,FALSE,FALSE,47.95,2571,5.21,,1,1
6149,2,0,1967,S. B. PATIL,Maharashtra,NILANGA,INC,,32744,M,1,1,1,FALSE,FALSE,55.34,10350,17.49,,1,1
AEMH102567,2,0,1967,G. N. PATIL,Maharashtra,PANVEL,INC,,17375,M,2,1,0,FALSE,FALSE,35.39,15205,30.97,,,1
AEMH105417,2,0,1967,M. S. KOSARKAR,Maharashtra,GUHAGAR,INC,,18484,M,1,1,1,FALSE,FALSE,42.46,2870,6.59,,1,1
AEMH105560,2,0,1967,R. G. KHARAT,Maharashtra,MAZGAON,RPI,,10734,M,2,1,0,FALSE,FALSE,23.03,1076,2.31,,,1
AEMH109220,2,0,1967,V. K. CHVAN PATIL,Maharashtra,CHANDGAD,INC,,25568,M,1,1,1,FALSE,FALSE,50.85,2510,4.99,,1,1
AEMH111553,2,0,1967,B.M. DESHMUKH,Maharashtra,WARDHA,INC,,19853,M,2,1,0,FALSE,FALSE,35.54,15565,27.86,,,1
AEMH111981,2,0,1967,V. G.SHIVDARE,Maharashtra,SOUTH SHOLAFUR,INC,,27507,M,1,1,1,FALSE,FALSE,77.6,23248,65.59,,1,1
AEMH112013,1,0,1962,AUDUMBER KONDIBA PATIL,Maharashtra,PANDHARPUR,INC,,28246,M,1,2,2,FALSE,FALSE,59.34,14971,31.45,,2,2
AEMH112013,2,0,1967,A. K. PATIL,Maharashtra,PANDHARPUR,INC,INC,26336,M,1,2,2,FALSE,TRUE,52.4,11745,23.37,,2,2
AEMH112239,2,0,1967,S. S. KHEM SAWANT BHOSALE,Maharashtra,SAWANTWADI,INC,,27452,M,1,1,1,FALSE,FALSE,66.29,17766,42.9,,1,1
AEMH112240,2,0,1967,J. S. MATHKAR,Maharashtra,SAWANTWADI,PSP,,9686,M,2,1,0,FALSE,FALSE,23.39,6954,16.79,,,1
AEMH112241,2,0,1967,G. S. KALSEKAR,Maharashtra,SAWANTWADI,BJS,,2732,M,3,1,0,FALSE,FALSE,6.6,1188,2.87,,,1
AEMH112242,2,0,1967,K. R. DESAI,Maharashtra,SAWANTWADI,PWP,,1544,M,4,1,0,FALSE,FALSE,3.73,0,0,,,1
AEMH112243,2,0,1967,P. A. KINALEKAR,Maharashtra,VENGURLA,PSP,,16594,M,1,1,1,FALSE,FALSE,41.15,4620,11.46,,1,1
AEMH112244,2,0,1967,S. B. NAIK,Maharashtra,VENGURLA,SSP,,11974,M,2,1,0,FALSE,FALSE,29.69,1675,4.15,,,1
AEMH112245,2,0,1967,P. D. BHONSALE,Maharashtra,VENGURLA,INC,,10299,M,3,1,0,FALSE,FALSE,25.54,8841,21.92,,,1
AEMH112248,2,0,1967,B. B. SAWANT,Maharashtra,KANKAVLI,INC,,11438,M,2,1,0,FALSE,FALSE,34.73,2770,8.41,,,1
AEMH112249,2,0,1967,B. R. HATLE,Maharashtra,KANKAVLI,PSP,,8668,M,3,1,0,FALSE,FALSE,26.32,0,0,,,1
AEMH112250,2,0,1967,V. G. PRABHUGAONKAR,Maharashtra,MALWAN,INC,,16966,M,1,1,1,FALSE,FALSE,50.41,2098,6.23,,1,1
AEMH112251,2,0,1967,S. G. KOCHAREKAR,Maharashtra,MALWAN,PSP,,14868,M,2,1,0,FALSE,FALSE,44.18,13049,38.78,,,1
AEMH112253,2,0,1967,R. B. MUNJ,Maharashtra,DEOGAD,PSP,,14561,M,1,1,1,FALSE,FALSE,41.78,5163,14.81,,1,1
AEMH112254,2,0,1967,R. G. MIRASHI,Maharashtra,DEOGAD,INC,,9398,M,2,1,0,FALSE,FALSE,26.96,1059,3.04,,,1
AEMH112255,2,0,1967,V. S. SATAM,Maharashtra,DEOGAD,BJS,,8339,M,3,1,0,FALSE,FALSE,23.92,6361,18.25,,,1
