pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7883,4,0,1983,BANSI LAL,Delhi,SARAI ROHILLA,INC,,13718,M,1,1,1,FALSE,FALSE,51.9,3030,11.46,,1,1
7901,2,0,1972,JAG PRAVESH CHANDER,Delhi,JANGPURA,INC,,10507,M,1,3,2,FALSE,FALSE,58.07,3169,17.52,,2,3
7901,3,0,1977,JAG PRAVESH CHANDRA,Delhi,JANGPURA,INC,INC,9451,M,2,3,2,FALSE,TRUE,42.59,8934,40.26,,2,3
7901,4,0,1983,JAG PARVESH,Delhi,JANGPURA,INC,INC,15824,M,1,3,2,FALSE,FALSE,60,6263,23.75,,2,3
AEDL105477,4,0,1983,DAMYANTI SHARMA,Delhi,SAROJINI NAGAR,INC,,5942,F,2,1,0,FALSE,FALSE,35.77,5437,32.73,,,1
AEDL105499,4,1,1985,Prem Dass(w),Delhi,Laxmibai Nagar,INC,,9643,,1,1,1,FALSE,FALSE,51.64,1349,7.22,,1,1
AEDL105500,4,1,1985,K.N.SACHDEVA,Delhi,Laxmibai Nagar,BJP,,8294,,2,1,0,FALSE,FALSE,44.42,7983,42.75,,,1
AEDL105512,4,0,1983,R.N. CHANDELIYA,Delhi,GOLE MARKET,INC,,7663,M,1,1,1,FALSE,FALSE,51.55,1367,9.2,,1,1
AEDL105517,4,0,1983,TAJDAR BABAR,Delhi,BARA KHAMBA,INC,,8256,F,1,1,1,FALSE,FALSE,55.59,2604,17.53,,1,1
AEDL105518,4,0,1983,MAHENDER PAL CHAWLA,Delhi,BARA KHAMBA,BJP,,5652,M,2,1,0,FALSE,FALSE,38.06,4894,32.95,,,1
AEDL105524,4,0,1983,KARAN SINGH TANWAR,Delhi,DELHI CONTONMENT,BJP,,9389,M,1,1,1,FALSE,FALSE,53.34,1506,8.56,,1,1
AEDL105536,4,0,1983,NEM CHAND SHARMA,Delhi,JANGPURA,JNP,,433,M,4,1,0,FALSE,FALSE,1.64,366,1.39,,,1
AEDL105538,4,0,1983,JAGDISH LAL,Delhi,KASTURBA NAGAR,BJP,,9678,M,1,1,1,FALSE,FALSE,45.87,18,0.09,,1,1
AEDL105540,4,0,1983,DAYA CHAND,Delhi,KASTURBA NAGAR,JNP,,701,M,3,1,0,FALSE,FALSE,3.32,26,0.12,,,1
AEDL105546,4,0,1983,PADAM SHARMA,Delhi,LAJPAT NAGAR,INC,,13502,M,2,1,0,FALSE,FALSE,46.73,13363,46.25,,,1
AEDL105551,4,0,1983,DES RAJ CHHABRA,Delhi,OKHLA,INC,,13737,M,1,1,1,FALSE,FALSE,43.84,800,2.55,,1,1
AEDL105552,4,0,1983,CH. RATTAN SINGH,Delhi,OKHLA,BJP,,12937,M,2,1,0,FALSE,FALSE,41.29,10161,32.43,,,1
AEDL105560,4,0,1983,YOGA NATH SHASTRI,Delhi,MALVIYA NAGAR,INC,,19295,M,2,1,0,FALSE,FALSE,44.27,16468,37.78,,,1
AEDL105561,4,0,1983,P.S. CHAUHAN,Delhi,MALVIYA NAGAR,JNP,,2827,M,3,1,0,FALSE,FALSE,6.49,2341,5.37,,,1
AEDL105568,4,0,1983,ARCHNA KUMARI,Delhi,R .K. PURAM,BJP,,9508,F,1,1,1,FALSE,FALSE,51.34,1947,10.51,,1,1
AEDL105569,4,0,1983,GOPAL PRASAD SHASTRI,Delhi,R .K. PURAM,INC,,7561,M,2,1,0,FALSE,FALSE,40.83,6578,35.52,,,1
AEDL105570,4,0,1983,GURDIIP SINGH,Delhi,R .K. PURAM,JNP,,983,M,3,1,0,FALSE,FALSE,5.31,747,4.03,,,1
AEDL105577,4,0,1983,ASHOK KUMAR JAIN,Delhi,HAUZ KHAS,INC,,12302,M,1,1,1,FALSE,FALSE,47.33,492,1.89,,1,1
AEDL105578,4,0,1983,BODH RAJ,Delhi,HAUZ KHAS,BJP,,11810,M,2,1,0,FALSE,FALSE,45.44,10323,39.71,,,1
AEDL105579,4,0,1983,KULWANT KUMAR,Delhi,HAUZ KHAS,JNP,,1487,M,3,1,0,FALSE,FALSE,5.72,1263,4.86,,,1
AEDL105585,4,0,1983,CHAMAN LALL CHAUHAN,Delhi,RAJINDER NAGAR,INC,,15800,M,2,1,0,FALSE,FALSE,47.73,15527,46.9,,,1
AEDL105589,4,0,1983,JAGDISH MUKHI,Delhi,ASHOK NAGAR,BJP,,27954,M,1,1,1,FALSE,FALSE,54.97,6667,13.11,,1,1
AEDL105590,4,0,1983,OM PARKASH WALIA,Delhi,ASHOK NAGAR,INC,,21287,M,2,1,0,FALSE,FALSE,41.86,20235,39.79,,,1
AEDL105594,4,0,1983,JASPAL SINGH,Delhi,TILAK NAGAR,INC,,19999,M,1,1,1,FALSE,FALSE,51.06,2276,5.81,,1,1
AEDL105596,4,0,1983,DEVRAJ BALI,Delhi,TILAK NAGAR,JNP,,945,M,3,1,0,FALSE,FALSE,2.41,661,1.69,,,1
