pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
4798,9,0,1999,VIJAYRAOJI MUDE,Maharashtra,ARVI,BJP,,31254,M,2,1,0,FALSE,FALSE,28.16,3573,3.22,,,1
6128,4,0,1978,SHINDE SUSHILKUMAR SAMBAJIRAO,Maharashtra,NORTH SOLAPUR,INC,,25795,M,1,5,5,FALSE,FALSE,45.59,11171,19.74,,5,5
6128,5,0,1980,SHINDE SUSHILKUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC(I),INC,32511,M,1,5,5,TRUE,TRUE,54.78,7075,11.92,,5,5
6128,6,0,1985,SHINDE SUSHIL KUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC,INC(I),63475,M,1,5,5,TRUE,TRUE,82.88,50362,65.76,,5,5
6128,7,0,1990,SHINDE SUSHIL KUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC,INC,77309,M,1,5,5,FALSE,TRUE,61.93,39242,31.44,,5,5
6128,9,1,2003,Shinde Sushilkumar Sambhajirao,Maharashtra,SouthSolapur,INC,INC,85329,M,1,5,5,FALSE,FALSE,91.03,79433,84.74,,5,5
6135,3,0,1972,N A SHANKERRAO,Maharashtra,NANDED,CPI,,5603,M,3,2,1,FALSE,FALSE,10,1637,2.92,,1,2
6135,9,0,1999,ASHOKRAO SHANKARRAO CHAVAN,Maharashtra,MUDKHED,INC,CPI,67727,M,1,2,1,TRUE,FALSE,59.02,40534,35.32,,1,2
6156,5,0,1980,BABASAHEB YESHWANT RAO PATIL,Maharashtra,SHAHUWADI,INC(I),,44864,M,1,5,2,FALSE,FALSE,79.49,33291,58.99,,2,5
6156,6,0,1985,PATIL BABASAHEB YESHWANTRAO,Maharashtra,SHAHUWADI,INC,INC(I),40471,M,2,5,2,TRUE,TRUE,46.37,38435,44.04,,2,5
6156,7,0,1990,PATIL BABASAHEB YASHWANTRAO,Maharashtra,SHAHUWADI,SHS,INC,54223,M,1,5,2,TRUE,FALSE,50.63,3889,3.63,,2,5
6156,8,0,1995,PATIL BABASHEB YASHWANTRAO,Maharashtra,SHAHUWADI,INC,SHS,46192,M,2,5,2,TRUE,TRUE,37.21,38623,31.11,,2,5
6156,9,0,1999,PATIL BABASAHEB YESHAWANTRAO,Maharashtra,SHAHUWADI,NCP,INC,48451,M,2,5,2,TRUE,FALSE,42.06,38815,33.7,,2,5
6169,8,1,1996,Anil Anna Gote,Maharashtra,Yavatmal,SJP(M),,4501,"",7,2,1,FALSE,FALSE,4.16,590,0.54,,1,2
6169,9,0,1999,ANIL (ANNA) GOTE,Maharashtra,DHULE,SJP(M),SJP(M),40986,M,1,2,1,FALSE,FALSE,34.64,3676,3.11,,1,2
6170,8,0,1995,DR. PATIL B.S.,Maharashtra,AMALNER,BJP,,35838,M,1,2,2,FALSE,FALSE,29.65,904,0.75,,2,2
6170,9,0,1999,DR. PATIL B.S.,Maharashtra,AMALNER,BJP,BJP,49523,M,1,2,2,FALSE,TRUE,50.03,27000,27.28,,2,2
AEMH100006,8,0,1995,BANGER PRATAP GANPATRAO,Maharashtra,JINTUR,JD,,41314,M,2,2,0,FALSE,FALSE,33.99,31933,26.28,,,2
AEMH100006,9,0,1999,BANGAR PRATAP GANPATRAO,Maharashtra,JINTUR,SHS,JD,23172,M,3,2,0,TRUE,FALSE,20.5,22903,20.27,,,2
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,Maharashtra,PATHRI,SHS,,37437,M,1,3,3,FALSE,FALSE,42.83,14717,16.84,,3,3
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,42598,M,1,3,3,FALSE,TRUE,39.21,17865,16.45,,3,3
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,Maharashtra,PATHRI,SHS,SHS,39242,M,1,3,3,FALSE,TRUE,39.06,6891,6.86,,3,3
AEMH100036,8,0,1995,A. KADIR A. WAHED DESHMUKH,Maharashtra,PARTUR,INC,,37912,M,1,2,1,FALSE,FALSE,31.95,122,0.1,,1,2
AEMH100036,9,0,1999,A. KADIR A. WAHED DESHMUKH,Maharashtra,PARTUR,INC,INC,32508,M,2,2,1,FALSE,TRUE,30.19,7232,6.72,,1,2
AEMH100091,8,0,1995,ARVIND BAJIRAO CHAVAN,Maharashtra,BADNAPUR,INC,,16902,M,3,2,0,FALSE,FALSE,12.84,4603,3.5,,,2
AEMH100091,9,0,1999,CHAVAN ARVIND BAJIRAO,Maharashtra,BADNAPUR,IND,INC,24153,M,2,2,0,FALSE,FALSE,21.25,1693,1.49,,,2
AEMH100150,8,0,1995,R.M. WANI,Maharashtra,VAIJAPUR,ICS,,32695,M,2,2,1,FALSE,FALSE,29.3,12644,11.33,,1,2
AEMH100150,9,0,1999,R. M. WANI,Maharashtra,VAIJAPUR,SHS,ICS,51234,M,1,2,1,TRUE,FALSE,48.6,23175,21.98,,1,2
AEMH100198,8,0,1995,DARDA RAJENDRA,Maharashtra,AURANGABAD WEST,INC,,72657,M,2,2,1,FALSE,FALSE,25.85,29935,10.65,,1,2
AEMH100198,9,0,1999,DARDA RAJENDRA,Maharashtra,AURANGABAD WEST,INC,INC,132568,M,1,2,1,FALSE,FALSE,52.64,44836,17.8,,1,2
