pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7824,5,0,1993,RAM VIR SINGH BIDHURI,Delhi,BADARPUR,JD,,22102,M,1,5,3,FALSE,FALSE,41.61,7066,13.3,,3,5
7824,6,0,1998,RAMVIR SINGH BIDHURI,Delhi,BADARPUR,INC,JD,26259,M,2,5,3,TRUE,TRUE,29.46,17401,19.52,,3,5
7824,7,0,2003,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,NCP,INC,40224,M,1,5,3,TRUE,FALSE,38.31,436,0.42,,3,5
7824,8,0,2008,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,INC,NCP,40105,M,2,5,3,TRUE,TRUE,35.52,24488,21.69,55,3,5
7824,9,0,2013,RAMBIR SINGH BIDHURI,Delhi,BADARPUR,BJP,INC,45344,M,1,5,3,TRUE,FALSE,34.23,13854,10.46,60,3,5
7900,9,0,2013,JAG PARVESH,Delhi,SANGAM VIHAR,INC,,16435,M,3,1,0,FALSE,FALSE,18.43,6585,7.39,41,,1
7907,8,0,2008,ASIF OHD.KHAN,Delhi,OKHLA,RJD,,28756,M,2,3,2,FALSE,FALSE,28,6695,6.52,45,2,2
7907,8,1,2009,Asif Md. Khan,Delhi,OKHLA,RJD,RJD,23394,,1,3,2,FALSE,FALSE,28.98,5007,6.2,,2,2
7907,9,0,2013,ASIF MOHD KHAN,Delhi,OKHLA,INC,RJD,50004,M,1,3,2,TRUE,TRUE,36.34,26545,19.29,49,2,2
AEDL100582,6,0,1998,SHISH PAL SINGH,Delhi,TUGLAKABAD,INC,,39551,M,1,4,1,FALSE,FALSE,49.59,8879,11.13,,1,4
AEDL100582,7,0,2003,SHISH PAL SINGH,Delhi,TUGLAKABAD,IND,INC,17540,M,2,4,1,FALSE,TRUE,21.16,4539,5.48,,1,4
AEDL100582,8,0,2008,SHISH PAL SINGH,Delhi,TUGHLAKABAD,INC,IND,20689,M,3,4,1,FALSE,FALSE,25.99,20170,25.34,50,1,4
AEDL100582,9,0,2013,SHISH PAL SINGH,Delhi,SANGAM VIHAR,JD(U),INC,9010,M,5,4,1,TRUE,FALSE,10.1,7510,8.42,56,1,4
AEDL100776,9,0,2013,NEEL DAMAN KHATRI,Delhi,NERELA,BJP,,54622,M,1,1,1,FALSE,FALSE,37.95,23545,16.36,43,1,1
AEDL100777,9,0,2013,VIRENDER,Delhi,NERELA,BSP,,31077,M,2,1,0,FALSE,FALSE,21.59,4766,3.31,38,,1
