pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7820,12,0,2014,NAGENDER BHADANA,Haryana,FARIDABAD NIT,INLD,,45740,M,1,1,1,FALSE,FALSE,31.95,2914,2.04,43,1,1
9015,7,0,1991,ZAKIR HUSSAIN,Haryana,TAORU,IND,,28513,M,1,5,3,FALSE,FALSE,39,5900,8.07,,3,5
9015,8,0,1996,ZAKIR HUSSAIN S/O TAYAB HUSSAIN,Haryana,TAORU,INC,IND,18480,M,2,5,3,FALSE,TRUE,21.6,1636,1.91,,3,5
9015,9,0,2000,ZAKIR HUSSAIN,Haryana,TAORU,INC,INC,45126,M,1,5,3,FALSE,FALSE,49.82,10210,11.27,,3,5
9015,10,0,2005,ZAKIR HUSSAIN,Haryana,TAORU,INC,INC,33230,M,2,5,3,FALSE,TRUE,30.52,8577,7.88,42,3,5
9015,12,0,2014,ZAKIR HUSSAIN,Haryana,NUH,INLD,INC,64221,M,1,5,3,TRUE,FALSE,52.35,32796,26.74,52,3,5
9070,7,0,1991,ASHOK KUMAR,Haryana,THANESAR,JP,,18458,M,2,8,3,FALSE,FALSE,25.38,3394,4.67,,3,6
9070,8,0,1996,ASHOK KUMAR,Haryana,THANESAR,SAP,JP,25175,M,1,8,3,TRUE,FALSE,25.57,4975,5.05,,3,6
9070,9,0,2000,ASHOK KUMAR,Haryana,THANESAR,INLD,SAP,44678,M,1,8,3,TRUE,TRUE,48.64,13801,15.03,,3,6
9070,10,0,2005,ASHOK KUMAR ARORA,Haryana,THANESAR,INLD,INLD,40943,M,2,8,3,FALSE,TRUE,35.16,28287,24.29,45,3,6
9070,10,0,2005,ASHOK KUMAR,Haryana,THANESAR,IND,INLD,128,M,11,8,3,FALSE,TRUE,0.11,0,0,49,3,6
9070,10,1,2008,ASHOK KUMAR S/O SARDHARAM,Haryana,LADWA,INLD,IND,31297,M,3,8,3,FALSE,FALSE,27.15,25704,22.3,,3,6
9070,11,0,2009,ASHOK KUMAR ARORA,Haryana,THANESAR,INLD,INLD,29516,M,1,8,3,FALSE,FALSE,32.87,8285,9.23,50,3,6
9070,12,0,2014,ASHOK KUMAR ARORA,Haryana,THANESAR,INLD,INLD,42442,M,2,8,3,FALSE,TRUE,32.98,28673,22.28,55,3,6
9120,11,0,2009,SHAKUNTLA,Haryana,KALANAUR,INC,,52142,F,1,2,2,FALSE,FALSE,56.73,27860,30.31,41,2,2
9120,12,0,2014,SHAKUNTLA KHATAK,Haryana,KALANAUR,INC,INC,50451,F,1,2,2,FALSE,TRUE,39.65,3972,3.12,47,2,2
9142,5,0,1982,JOGI RAM,Haryana,KALAYAT,LKD,,27228,M,1,5,1,FALSE,FALSE,56.94,10468,21.89,,1,5
9142,7,0,1991,JOGI RAM S/O DATU RAM,Haryana,KALAYAT,INC,LKD,17117,M,2,5,1,TRUE,FALSE,30.92,12367,22.34,,1,5
9142,8,0,1996,JOGI RAM,Haryana,KALAYAT,INC,INC,8581,M,3,5,1,FALSE,FALSE,13.38,1198,1.87,,1,5
9142,9,0,2000,JOGI RAM,Haryana,KALAYAT,IND,INC,90,M,7,5,1,FALSE,FALSE,0.13,0,0,,1,5
9142,12,0,2014,JOGI RAM,Haryana,KALAYAT,BSP,IND,4232,M,5,5,1,FALSE,FALSE,2.77,3234,2.12,51,1,5
AEHR10031,10,0,2005,RAJINDER SINGH S/O SURAJ MAL,Haryana,BAHADURGARH,INC,,41313,M,1,3,2,FALSE,FALSE,40.33,5096,4.97,48,2,3
AEHR10031,11,0,2009,RAJINDER SINGH JOON,Haryana,BAHADURGARH,INC,INC,38641,M,1,3,2,FALSE,TRUE,43.29,19352,21.68,53,2,3
AEHR10031,12,0,2014,RAJINDER SINGH JOON,Haryana,BAHADURGARH,INC,INC,33459,M,2,3,2,FALSE,TRUE,25.27,5217,3.94,58,2,3
AEHR100365,7,1,1993,Chandermohan,Haryana,Kalka,INC,,82918,M,1,5,4,FALSE,FALSE,79.7,61800,59.4,,4,5
AEHR100365,8,0,1996,CHANDER MOHAN,Haryana,KALKA,INC,INC,54929,M,1,5,4,FALSE,TRUE,40.97,20629,15.38,,4,5
AEHR100365,9,0,2000,CHANDER MOHAN,Haryana,KALKA,INC,INC,61581,M,1,5,4,FALSE,TRUE,51.68,14843,12.46,,4,5
AEHR100365,10,0,2005,CHANDER MOHAN,Haryana,KALKA,INC,INC,98765,M,1,5,4,FALSE,TRUE,63.1,61476,39.28,38,4,5
AEHR100365,12,0,2014,CHANDER MOHAN,Haryana,NALWA,HJCBL,INC,34835,M,2,5,4,TRUE,FALSE,29.8,14821,12.68,48,4,5
AEHR100368,7,1,1993,Randeep Singh,Haryana,Narwana,INC,,28342,M,2,6,4,FALSE,FALSE,37.47,0,0,,4,6
AEHR100368,8,0,1996,RANDEEP SINGH,Haryana,NARWANA,INC,INC,28286,M,1,6,4,FALSE,FALSE,32.63,849,0.98,,4,6
AEHR100368,9,0,2000,RANDEEP SINGH SURJEWALA,Haryana,NARWANA,INC,INC,39729,M,2,6,4,FALSE,TRUE,45.62,37058,42.55,,4,6
AEHR100368,10,0,2005,RANDEEP SINGH SURJEWALA,Haryana,NARWANA,INC,INC,52813,M,1,6,4,FALSE,FALSE,49.02,1859,1.73,37,4,6
AEHR100368,11,0,2009,RANDEEP SINGH SURJEWALA,Haryana,KAITHAL,INC,INC,59889,M,1,6,4,FALSE,TRUE,51.3,22502,19.28,42,4,6
AEHR100368,12,0,2014,RANDEEP SINGH SURJEWALA,Haryana,KAITHAL,INC,INC,65524,M,1,6,4,FALSE,TRUE,43.2,23675,15.61,47,4,6
AEHR100390,8,1,1998,Kuldeep Singh Bishnoi,Haryana,ADAMPUR,INC,,49077,M,1,3,3,FALSE,FALSE,53.51,17775,19.38,,3,3
AEHR100390,11,0,2009,KULDEEP BISHNOI,Haryana,ADAMPUR,HJCBL,INC,48224,M,1,3,3,TRUE,FALSE,45.77,6015,5.71,41,3,3
AEHR100390,12,0,2014,KULDEEP BISHNOI,Haryana,ADAMPUR,HJCBL,HJCBL,56757,M,1,3,3,FALSE,FALSE,47.1,17249,14.31,46,3,3
AEHR100413,9,1,2000,Abhay Singh Chautala,Haryana,RORI,INLD,,93402,M,1,3,3,FALSE,FALSE,90.48,86011,83.32,,3,3
AEHR100413,11,1,2010,Abhay Singh Chautala,Haryana,ELLENABAD,INLD,INLD,64813,M,1,3,3,FALSE,FALSE,50.75,6227,4.88,,3,3
AEHR100413,12,0,2014,ABHAY SINGH CHAUTALA,Haryana,ELLENABAD,INLD,INLD,69162,M,1,3,3,FALSE,TRUE,46.7,11539,7.79,49,3,3
AEHR100424,9,1,2002,Dr. KRISHNA PANDIT w/o Late Sh. JAI PARKASH,Haryana,YAMUNANAGAR,INC,,22290,F,3,3,1,FALSE,FALSE,19.15,7293,6.27,,1,3
AEHR100424,10,0,2005,DR KRISHNA PANDIT,Haryana,YAMUNANAGAR,INC,INC,47360,F,1,3,1,FALSE,FALSE,48.2,24509,24.94,66,1,3
AEHR100424,12,0,2014,DR. KRISHNA PANDIT,Haryana,YAMUNANAGAR,INC,INC,9603,F,4,3,1,FALSE,FALSE,6.2,8721,5.63,76,1,3
AEHR100425,9,1,2002,GHANSHYAM DASS,Haryana,YAMUNANAGAR,BJP,,14997,M,4,4,1,FALSE,FALSE,12.89,7263,6.24,,1,4
AEHR100425,10,0,2005,GHANSHYAM DASS,Haryana,YAMUNANAGAR,BJP,BJP,22851,M,2,4,1,FALSE,FALSE,23.26,4532,4.61,53,1,4
AEHR100425,11,0,2009,GHANSHYAM DASS,Haryana,YAMUNANAGAR,BJP,BJP,15526,M,3,4,1,FALSE,FALSE,13.75,5824,5.16,58,1,4
AEHR100425,12,0,2014,GHANSHYAM DASS,Haryana,YAMUNANAGAR,BJP,BJP,79743,M,1,4,1,FALSE,FALSE,51.51,28245,18.24,62,1,4
AEHR100439,9,1,2003,Swatantar Bala,Haryana,Fatehabad,INLD,,45597,F,1,4,1,FALSE,FALSE,39.41,7672,6.63,,1,4
AEHR100439,10,0,2005,SWATANTAR BALA CHAUDHARY,Haryana,FATEHABAD,INLD,INLD,50386,F,2,4,1,FALSE,TRUE,40.42,44614,35.79,49,1,4
AEHR100439,11,0,2009,SWATANTAR BALA CHAUDHARY,Haryana,FATEHABAD,INLD,INLD,37536,F,3,4,1,FALSE,FALSE,25.37,30140,20.38,54,1,4
AEHR100439,12,0,2014,SWATANTAR BALA CHAUDHARY,Haryana,FATEHABAD,BJP,INLD,27305,F,3,4,1,TRUE,FALSE,14.75,1918,1.04,59,1,4
AEHR100440,9,1,2003,Dura Ram,Haryana,Fatehabad,INC,,37925,M,2,4,1,FALSE,FALSE,32.78,15645,13.52,,1,4
AEHR100440,10,0,2005,DURA RAM,Haryana,FATEHABAD,INC,INC,61011,M,1,4,1,FALSE,FALSE,48.95,10625,8.52,45,1,4
AEHR100440,11,0,2009,DURA RAM,Haryana,FATEHABAD,INC,INC,45835,M,2,4,1,FALSE,TRUE,30.99,8299,5.61,51,1,4
AEHR100440,12,0,2014,DURA RAM,Haryana,FATEHABAD,HJCBL,INC,57034,M,2,4,1,TRUE,FALSE,30.82,29729,16.06,56,1,4
AEHR100464,10,1,2005,Savitri Jindal,Haryana,Hissar,INC,,103351,F,1,3,2,FALSE,FALSE,95.83,102231,94.79,,2,3
AEHR100464,11,0,2009,SAVITRI JINDAL,Haryana,HISAR,INC,INC,32866,F,1,3,2,FALSE,TRUE,42.12,14728,18.87,59,2,3
AEHR100464,12,0,2014,SAVITRI JINDAL,Haryana,HISAR,INC,INC,28639,F,2,3,2,FALSE,TRUE,26.28,163,0.15,64,2,3
AEHR100490,10,1,2008,DR. KRISHAN CHANDER BANGAR,Haryana,TOHANA,INLD,,22378,M,2,2,0,FALSE,FALSE,25.82,16087,18.56,,,2
AEHR100490,12,0,2014,DR.KRISHAN CHANDER BANGER,Haryana,GOHANA,INLD,INLD,38165,M,2,2,0,FALSE,FALSE,32.6,9800,8.37,56,,2
AEHR10172,10,0,2005,PARMINDER SINGH,Haryana,JULANA,IND,,25410,M,2,3,2,FALSE,FALSE,29.37,9473,10.95,47,2,3
AEHR10172,11,0,2009,PARMINDER SINGH DHULL,Haryana,JULANA,INLD,IND,45576,M,1,3,2,FALSE,FALSE,43.73,12811,12.29,52,2,3
AEHR10172,12,0,2014,PARMINDER SINGH DHULL,Haryana,JULANA,INLD,INLD,54632,M,1,3,2,FALSE,TRUE,44,22806,18.37,57,2,3
AEHR10184,10,0,2005,KARAMVIR SAINI,Haryana,SAFIDON,INC,,26077,M,2,2,0,FALSE,FALSE,26.16,8493,8.52,39,,2
AEHR10184,12,0,2014,KARMVIR SAINI,Haryana,SAFIDON,BSP,INC,19843,M,5,2,0,TRUE,FALSE,14.82,18315,13.68,49,,2
AEHR10222,10,0,2005,MOOL CHAND SHARMA,Haryana,BALLABGARH,INLD,,34213,M,2,2,1,FALSE,FALSE,27.46,25841,20.74,40,1,2
AEHR10222,12,0,2014,MOOL CHAND SHARMA,Haryana,BALLABHGARH,BJP,INLD,69074,M,1,2,1,TRUE,FALSE,56.93,53098,43.77,50,1,2
AEHR10266,10,0,2005,DAYAWATI,Haryana,FEROZEPUR JHIRKA,IND,,8544,F,4,3,0,FALSE,FALSE,8.31,5316,5.17,43,,3
AEHR10266,11,0,2009,DAYAWATI,Haryana,PUNAHANA,BSP,IND,16177,F,2,3,0,FALSE,FALSE,19.92,4513,5.56,44,,3
AEHR10266,12,0,2014,DAYAWATI,Haryana,PUNAHANA,BSP,BSP,10096,F,5,3,0,FALSE,FALSE,8.7,9580,8.26,53,,3
AEHR10275,10,0,2005,AFTAB AHMED,Haryana,NUH,INC,,32520,M,2,3,1,FALSE,FALSE,33.79,11488,11.94,39,1,3
AEHR10275,11,0,2009,AFTAB AHMED,Haryana,NUH,INC,INC,33925,M,1,3,1,FALSE,FALSE,39.09,16904,19.48,43,1,3
AEHR10275,12,0,2014,AFTAB AHMED,Haryana,NUH,INC,INC,31425,M,2,3,1,FALSE,TRUE,25.62,7203,5.87,49,1,3
AEHR10314,10,0,2005,GANGA RAM,Haryana,PATAUDI,INLD,,33096,M,2,3,1,FALSE,FALSE,36.6,23509,26,60,1,3
AEHR10314,11,0,2009,GANGA RAM,Haryana,PATAUDI,INLD,INLD,49323,M,1,3,1,FALSE,FALSE,51.45,24747,25.82,57,1,3
AEHR10314,12,0,2014,GANGA RAM,Haryana,PATAUDI,INLD,INLD,36235,M,2,3,1,FALSE,TRUE,27.05,20583,15.37,62,1,3
AEHR10343,10,0,2005,SOMVIR,Haryana,DADRI,IND,,14653,M,4,2,0,FALSE,FALSE,15.33,12998,13.6,37,,2
AEHR10343,12,0,2014,SOMVIR,Haryana,DADRI,BJP,IND,41790,M,2,2,0,FALSE,FALSE,31.62,18650,14.11,47,,2
AEHR10373,10,0,2005,GHANSHYAM DASS SARRAF,Haryana,BHIWANI,BJP,,23874,M,2,3,2,FALSE,FALSE,27.7,13161,15.27,40,2,3
AEHR10373,11,0,2009,GHANSYAM SARAF,Haryana,BHIWANI,BJP,BJP,27337,M,1,3,2,FALSE,FALSE,28.44,2645,2.75,45,2,3
AEHR10373,12,0,2014,GHANSHYAM SARAF,Haryana,BHIWANI,BJP,BJP,50020,M,1,3,2,FALSE,TRUE,38.35,28597,21.93,51,2,3
AEHR10429,10,0,2005,UMED SINGH LOHAN,Haryana,BARWALA,INLD,,30664,M,2,2,0,FALSE,FALSE,28.41,15263,14.14,36,,2
AEHR10429,12,0,2014,UMED SINGH LOHAN,Haryana,HANSI,INLD,INLD,31683,M,2,2,0,FALSE,FALSE,24.24,7441,5.69,45,,2
AEHR10458,10,0,2005,VINOD BHAYANA,Haryana,HANSI,IND,,29212,M,2,3,1,FALSE,FALSE,29.71,9997,10.17,47,1,3
AEHR10458,11,0,2009,VINOD BHAYANA,Haryana,HANSI,HJCBL,IND,36529,M,1,3,1,FALSE,FALSE,34.36,6283,5.91,51,1,3
AEHR10458,12,0,2014,VINOD BHAYANA,Haryana,HANSI,INC,HJCBL,22244,M,4,3,1,TRUE,TRUE,17.02,20477,15.67,56,1,3
AEHR10613,10,0,2005,YADAVENDRA SINGH ALIAS BALJIT SINGH,Haryana,JATUSANA,INC,,39276,M,1,3,2,FALSE,FALSE,33.85,1459,1.26,47,2,3
AEHR10613,11,0,2009,YADUVENDER SINGH,Haryana,KOSLI,INC,INC,47896,M,1,3,2,FALSE,TRUE,37.47,3423,2.68,52,2,3
AEHR10613,12,0,2014,YADUVENDER SINGH,Haryana,KOSLI,INC,INC,19527,M,3,3,2,FALSE,TRUE,12.14,2963,1.84,58,2,3
AEHR10616,10,0,2005,NARBIR SINGH,Haryana,JATUSANA,BJP,,31085,M,3,2,1,FALSE,FALSE,26.79,27261,23.5,44,1,2
AEHR10616,12,0,2014,NARBIR SINGH,Haryana,BADSHAHPUR,BJP,BJP,86672,M,1,2,1,FALSE,FALSE,39.82,18132,8.33,55,1,2
AEHR10690,11,0,2009,GIAN CHAND,Haryana,PANCHKULA,BJP,,15717,M,3,2,1,FALSE,FALSE,19.04,2795,3.39,61,1,2
AEHR10690,12,0,2014,GIAN CHAND GUPTA,Haryana,PANCHKULA,BJP,BJP,69916,M,1,2,1,FALSE,FALSE,54.29,44602,34.63,66,1,2
AEHR10696,11,0,2009,NAYAB SINGH,Haryana,NARAINGARH,BJP,,8082,M,5,2,1,FALSE,FALSE,6.96,3895,3.36,39,1,2
AEHR10696,12,0,2014,NAYAB SINGH,Haryana,NARAINGARH,BJP,BJP,55931,M,1,2,1,FALSE,FALSE,39.79,24361,17.33,44,1,2
AEHR10703,11,0,2009,BHOOM SINGH,Haryana,NARAINGARH,HJCBL,,3028,M,7,2,0,FALSE,FALSE,2.61,913,0.79,41,,2
AEHR10703,12,0,2014,BHOOM SINGH,Haryana,NARAINGARH,HJCBL,HJCBL,3101,M,5,2,0,FALSE,FALSE,2.21,2185,1.55,47,,2
AEHR10726,11,0,2009,RAJBIR SINGH BARARA,Haryana,MULANA,INLD,,47185,M,1,2,1,FALSE,FALSE,36.37,2937,2.26,42,1,2
AEHR10726,12,0,2014,RAJBIR SINGH,Haryana,MULANA,INLD,INLD,44321,M,2,2,1,FALSE,TRUE,28.53,406,0.26,47,1,2
AEHR10734,11,0,2009,RAJPAL,Haryana,SADHAURA,INC,,47263,M,1,2,1,FALSE,FALSE,35.58,8613,6.48,38,1,2
AEHR10734,12,0,2014,RAJ PAL,Haryana,SADHAURA,INC,INC,21299,M,3,2,1,FALSE,TRUE,12.94,4757,2.89,44,1,2
AEHR10740,11,0,2009,RAVI BHUSHAN,Haryana,SADHAURA,BSP,,24183,M,3,2,0,FALSE,FALSE,18.2,13394,10.08,41,,2
AEHR10740,12,0,2014,RAVI BHUSHAN,Haryana,SADHAURA,HJCBL,BSP,3868,M,6,2,0,TRUE,FALSE,2.35,2637,1.6,46,,2
AEHR10766,11,0,2009,DILBAGH SINGH,Haryana,YAMUNANAGAR,INLD,,46984,M,1,2,1,FALSE,FALSE,41.62,13573,12.02,38,1,2
AEHR10766,12,0,2014,DILBAGH SINGH,Haryana,YAMUNANAGAR,INLD,INLD,51498,M,2,2,1,FALSE,TRUE,33.26,41131,26.57,43,1,2
AEHR10773,11,0,2009,SHAM SINGH,Haryana,RADAUR,BJP,,13657,M,4,2,1,FALSE,FALSE,11.87,6567,5.71,61,1,2
AEHR10773,12,0,2014,SHYAM SINGH,Haryana,RADAUR,BJP,BJP,67076,M,1,2,1,FALSE,FALSE,45.5,38707,26.26,66,1,2
AEHR10784,11,0,2009,KAILASHO SAINI,Haryana,LADWA,INC,,30000,F,2,2,0,FALSE,FALSE,26.7,8225,7.32,47,,2
AEHR10784,12,0,2014,KAILASHO SAINI,Haryana,LADWA,INC,INC,33052,F,3,2,0,FALSE,FALSE,24.07,23152,16.86,52,,2
