pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
6128,4,0,1978,SHINDE SUSHILKUMAR SAMBAJIRAO,Maharashtra,NORTH SOLAPUR,INC,,25795,M,1,3,3,FALSE,FALSE,45.59,11171,19.74,,3,3
6128,5,0,1980,SHINDE SUSHILKUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC(I),INC,32511,M,1,3,3,TRUE,TRUE,54.78,7075,11.92,,3,3
6128,6,0,1985,SHINDE SUSHIL KUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC,INC(I),63475,M,1,3,3,TRUE,TRUE,82.88,50362,65.76,,3,3
6156,5,0,1980,BABASAHEB YESHWANT RAO PATIL,Maharashtra,SHAHUWADI,INC(I),,44864,M,1,2,1,FALSE,FALSE,79.49,33291,58.99,,1,2
6156,6,0,1985,PATIL BABASAHEB YESHWANTRAO,Maharashtra,SHAHUWADI,INC,INC(I),40471,M,2,2,1,TRUE,TRUE,46.37,38435,44.04,,1,2
AEMH100931,6,0,1985,DHUMAL RAMDAS VISHWANATH,Maharashtra,RAHURI,ICS,,23661,M,2,1,0,FALSE,FALSE,27.42,9610,11.14,,,1
AEMH101470,6,0,1985,GAIKWAD SANJAYSINH JAYSINGRAO,Maharashtra,SHAHUWADI,IND,,44771,M,1,1,1,FALSE,FALSE,51.3,4300,4.93,,1,1
AEMH101526,4,0,1978,KHANVILKAR DIGVIJAYA BHAUSAHEB,Maharashtra,KARVIR,INC(I),,12479,M,4,3,2,FALSE,FALSE,15.53,11349,14.13,,2,3
AEMH101526,5,0,1980,KHANVIKAR DIGVIJAY BHAUSAHEB,Maharashtra,KARVIR,INC(I),INC(I),33346,M,1,3,2,FALSE,FALSE,46.8,2999,4.21,,2,3
AEMH101526,6,0,1985,DIGVIJAY BHAUSO KHANVILKAR,Maharashtra,KARVIR,INC,INC(I),46531,M,1,3,2,TRUE,TRUE,54.38,15772,18.43,,2,3
AEMH101627,5,0,1980,SHANTARAM SHIVARAM PHILSE,Maharashtra,MAHAD,IND,,11658,M,3,2,1,FALSE,FALSE,20.3,5916,10.3,,1,2
AEMH101627,6,0,1985,SHANTARAM PHILSE,Maharashtra,MAHAD,JNP,IND,32040,M,1,2,1,FALSE,FALSE,44.48,649,0.9,,1,2
AEMH101787,4,0,1978,NANAWARE VASANT PANDURANG,Maharashtra,WORLI,INC(I),,12786,M,2,2,0,FALSE,FALSE,17.97,2093,2.94,,,2
AEMH101787,6,0,1985,VASANT PANDURANG NANAWARE,Maharashtra,WORLI,INC,INC(I),20892,M,2,2,0,TRUE,FALSE,34.32,11535,18.95,,,2
AEMH101837,6,0,1985,RAMESH MEDHEKAR,Maharashtra,DADAR,BJP,,10398,M,4,1,0,FALSE,FALSE,15.71,4604,6.96,,,1
AEMH101839,6,0,1985,VASANT MORE,Maharashtra,DHARAVI,ICS,,24223,M,2,1,0,FALSE,FALSE,32.82,19611,26.57,,,1
