pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
6128,4,0,1978,SHINDE SUSHILKUMAR SAMBAJIRAO,Maharashtra,NORTH SOLAPUR,INC,,25795,M,1,4,4,FALSE,FALSE,45.59,11171,19.74,,4,4
6128,5,0,1980,SHINDE SUSHILKUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC(I),INC,32511,M,1,4,4,TRUE,TRUE,54.78,7075,11.92,,4,4
6128,6,0,1985,SHINDE SUSHIL KUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC,INC(I),63475,M,1,4,4,TRUE,TRUE,82.88,50362,65.76,,4,4
6128,7,0,1990,SHINDE SUSHIL KUMAR SAMBHAJIRAO,Maharashtra,NORTH SOLAPUR,INC,INC,77309,M,1,4,4,FALSE,TRUE,61.93,39242,31.44,,4,4
6156,5,0,1980,BABASAHEB YESHWANT RAO PATIL,Maharashtra,SHAHUWADI,INC(I),,44864,M,1,3,2,FALSE,FALSE,79.49,33291,58.99,,2,3
6156,6,0,1985,PATIL BABASAHEB YESHWANTRAO,Maharashtra,SHAHUWADI,INC,INC(I),40471,M,2,3,2,TRUE,TRUE,46.37,38435,44.04,,2,3
6156,7,0,1990,PATIL BABASAHEB YASHWANTRAO,Maharashtra,SHAHUWADI,SHS,INC,54223,M,1,3,2,TRUE,FALSE,50.63,3889,3.63,,2,3
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,Maharashtra,PATHRI,SHS,,37437,M,1,1,1,FALSE,FALSE,42.83,14717,16.84,,1,1
AEMH100444,7,0,1990,TONDCHIRKET SHIVRAJ MALOJI,Maharashtra,HER,JD,,29706,M,1,1,1,FALSE,FALSE,38.68,5950,7.75,,1,1
AEMH100506,7,0,1990,GORE ARVIND JANARDHAN,Maharashtra,OSMANABAD,JD,,34470,M,2,1,0,FALSE,FALSE,31.62,27280,25.02,,,1
AEMH100517,7,0,1990,JADHAV SURYABHAN NARAYANRAO,Maharashtra,AUSA,SHS,,17102,M,2,1,0,FALSE,FALSE,18.54,879,0.95,,,1
AEMH100568,7,0,1990,PATIL SIDRAMAPPA MALAKAPPA,Maharashtra,SOUTH SOLAPUR,IND,,34782,M,2,1,0,FALSE,FALSE,38.22,28780,31.63,,,1
AEMH100931,6,0,1985,DHUMAL RAMDAS VISHWANATH,Maharashtra,RAHURI,ICS,,23661,M,2,2,0,FALSE,FALSE,27.42,9610,11.14,,,2
AEMH100931,7,0,1990,DHUMAL RAMDAS VISHWANATH,Maharashtra,RAHURI,BJP,ICS,46674,M,2,2,0,TRUE,FALSE,44.41,45803,43.58,,,2
AEMH100959,7,0,1990,BHANGARE ASHOK YASHWANT,Maharashtra,NAGAR-AKOLA,JD,,34539,M,2,1,0,FALSE,FALSE,34.35,30607,30.44,,,1
AEMH100966,7,0,1990,DANGAT BALASAHEB SAVALERAMDUA,Maharashtra,JUNNAR,SHS,,22653,M,3,1,0,FALSE,FALSE,21.82,8820,8.49,,,1
AEMH101363,7,0,1990,YADAV SURESH MARUTI,Maharashtra,BHILWADI WANGI,SHS,,1911,M,3,1,0,FALSE,FALSE,1.63,1212,1.03,,,1
AEMH101446,7,0,1990,MISHRILAL GOPIKISAN JAJU,Maharashtra,ICHALKARANJI,BJP,,7566,M,3,1,0,FALSE,FALSE,5.13,7283,4.94,,,1
AEMH101470,6,0,1985,GAIKWAD SANJAYSINH JAYSINGRAO,Maharashtra,SHAHUWADI,IND,,44771,M,1,2,1,FALSE,FALSE,51.3,4300,4.93,,1,2
AEMH101470,7,0,1990,GAIKWAD SANJAYSINGRAO JAYSINGRAO,Maharashtra,SHAHUWADI,INC,IND,50334,M,2,2,1,FALSE,TRUE,47,48095,44.91,,1,2
AEMH101551,7,0,1990,GHATAGE SANJAY ANANDARAO,Maharashtra,KAGAL,JD,,51596,M,2,1,0,FALSE,FALSE,46.66,50811,45.95,,,1
AEMH101566,7,0,1990,BHONSLE PRAVIN PRATAPRAO,Maharashtra,SAWANTWADI,INC,,39189,M,1,1,1,FALSE,FALSE,45.4,10639,12.32,,1,1
AEMH101568,7,0,1990,NAIK JAYWANT BALKRISHNA,Maharashtra,SAWANTWADI,SHS,,9158,M,3,1,0,FALSE,FALSE,10.61,1069,1.24,,,1
